,Démarche,Date,Identifiant,Satisfaction,Verbatim,Facilité,Simplicité,Difficulté,Autre difficulté,Aide,Autre aide,Source
532,Simuler mes droits sociaux,2021/03/18 18:14:43,2732052,Très bien,"Bonjour, il est dommage que le dossier et les chiffres ne soient pas transmis directement aux services concernés. La gestion des dossiers serait plus simple et plus rapide",-,-,"Manque d'informations sur la suite, le délai...",-,Autre,transmettre directement les dossiers aux services concernés,button
533,Simuler mes droits sociaux,2021/03/18 16:38:49,2731520,Moyen,"Compte tenu de toutes les infos à joindre, il serait pratique de faire une déclaration partielle à compléter plus tard si besoin. Là, on est obligé de tout faire d'un coup alors qu'on n'a pas forcément toutes les infos demandées sous la main. ",Bon,Bon,Autre,dommage qu'on ne puisse pas enregistrer un début de déclaration,-,-,button
534,Simuler mes droits sociaux,2021/03/18 16:04:48,2731320,Très bien,Merci,Bon,Bon,Difficulté à joindre les pièces justificatives,-,-,-,button
535,Simuler mes droits sociaux,2021/03/18 12:18:44,2730196,Très bien,Site fluide et facile d'accès,Bon,Bon,-,-,-,-,button
536,Simuler mes droits sociaux,2021/03/18 10:39:58,2729640,Pas bien,"Le résultat de la simulation est incohérente avec les résultats des organismes contactés. En effet, dans la simulation ""mesdroitssociaux"" on m'indique avoir le droit à 320 euros d'aide au logement alors que la CAF m'affirme que je n'ai aucun droit.",Bon,Bon,Autre,informations erronnées ,-,-,button
537,Simuler mes droits sociaux,2021/03/18 02:46:09,2728801,Pas bien,"bonjour , je n'ai aucun moyen d'arcedé aux sites  , ",Bon,Bon,"Manque d'informations avant de commencer la démarche ; La démarche n'a pas fonctionné ; Difficulté à joindre les pièces justificatives ; Manque d'informations sur la suite, le délai...",-,Un agent administratif,-,button
538,Simuler mes droits sociaux,2021/03/17 22:23:21,2728575,Très bien,Renouvellement CMU ,Bon,Bon,Autre,CMU,-,-,button
539,Simuler mes droits sociaux,2021/03/17 20:20:48,2728139,Pas bien,je ne comprend pas pourquoi l'aide à la complementaire soit refusé???,-,-,La démarche n'a pas fonctionné,-,Autre,aide pour la complementaire santé,button
540,Simuler mes droits sociaux,2021/03/17 16:27:31,2726712,Pas bien,bonjour je trouve que quand  til il y aune erreur sur les montant nous pouvons pas corriger dssuite et nous pouvons pas pretendre aux droit auquel nous avons droit donc retard surtout si probleme avec caf oblge appelle impot pour etre sur que rente incacite travaille bien exonere puis refaire dossier caf qui prend que les droit sociaux alors que ses sur les revenu anne 2019 sur anne 2020 quel doit tenir compte ses pas facile on sa pose des question si on  na juste ou pas mais laisse tombe ses dommage si on na des droit voila cordialemmentMtrani,-,-,Difficulté à joindre les pièces justificatives ; Autre,aux ne peux pas corriger directemment erreur,Autre,bessoin corriger erreur pour pretendre aux droit rapidement,button
541,Simuler mes droits sociaux,2021/03/17 15:35:49,2726408,Pas bien,Je souhaiterai savoir à quelle aide je peux prétendre svp,-,-,Manque d'informations avant de commencer la démarche ; La démarche n'a pas fonctionné,-,Autre,en ehpade,button
542,Simuler mes droits sociaux,2021/03/17 15:31:39,2726381,Très bien,Non,-,Bon,-,-,-,-,button
543,Simuler mes droits sociaux,2021/03/17 08:19:49,2724031,Moyen,"Je suis en liquidation Judiciaire, on a retenu tous mes biens donc je demande un logement SVP",-,-,-,-,-,-,button
544,Simuler mes droits sociaux,2021/03/17 04:42:09,2723814,Très bien,J'ai droit AAH 249 e et invalidité  610 ,Bon,Bon,Autre,Je n est rien recu de mes droit,Autre,Complément de revenu ,button
545,Simuler mes droits sociaux,2021/03/16 18:03:17,2722248,Moyen,"Bonjour ! Les données affichées en terme de salaire sont fausses ou décalées dans le temps, salaire de mars dans la case avril par exemple, et ainsi de suite mais pas tout le temps, dans la case janvier c'est le bon salaire ! Les revenus de livret A, etc, sont difficiles à rassembler, voire impossible. Bref, il faut être très très motivé pour y arriver. Évidemment, si on a des revenus d' épargne, on n'a peut-être pas de droits sociaux...Cordialement",Moyen,Moyen,La démarche n'a pas fonctionné,-,-,-,button
546,Simuler mes droits sociaux,2021/03/16 15:50:18,2721425,Moyen,le résulta change pour 2 simulations identiques. Pas fiable.,Bon,Moyen,Manque d'informations avant de commencer la démarche ; Difficulté à joindre les pièces justificatives,-,Un agent administratif,-,button
547,Simuler mes droits sociaux,2021/03/16 15:03:17,2721135,Très bien,"bonjour, j'ai travailler depuis 18 ans en 1978 j'ai 62 ans je suis né le 20/08/1958 mon numéro de sécu est le 1580813108092 combien je vais avoir de retraite à l'âge de 63 ans le 20/08/2021 pouvez me faire parvenir un mel pour avoir une simulation de retraite  en vous remerciant ",-,-,Manque d'informations avant de commencer la démarche,-,-,-,button
548,Simuler mes droits sociaux,2021/03/16 13:49:00,2720635,Pas bien,Vous oubliez mes droits à la prime d'activité,Bon,Bon,Autre,-,Autre,-,button
549,Simuler mes droits sociaux,2021/03/15 21:52:32,2718062,Pas bien,"Je n'arrive pas à obtenir de l'aide financière pour ma mère âgée, on me renvoie vers différents services sans succès, je dois payer 2 loyers et nourrir ma mère.",-,-,La démarche n'a pas fonctionné,-,Un(e) proche,-,button
550,Simuler mes droits sociaux,2021/03/15 21:33:19,2718010,Très bien,"J'ai besoin du formulaire complément santé par  courrier, et  merci  .",-,Bon,Difficulté à joindre les pièces justificatives,-,-,-,button
551,Simuler mes droits sociaux,2021/03/15 20:53:21,2717840,Très bien,bonjourje percois actuellement 27€ et mon marie percois que 813€ invaliditer cela fait 840€  cela pour vivre et payer tout les charge,Bon,Bon,Autre,probleme baisse de ressource,Autre,probleme baisse de ressource,button
552,Simuler mes droits sociaux,2021/03/15 19:50:42,2717557,Très bien,MERCI,Bon,Bon,Autre,PERMIS,"Internet (site, forum…)",-,button
553,Simuler mes droits sociaux,2021/03/15 19:03:19,2717303,Pas bien,je n'ai pas obtenu ce que voulais savoir,Bon,Bon,La démarche n'a pas fonctionné,-,Autre,-,button
554,Simuler mes droits sociaux,2021/03/15 18:10:33,2716909,Pas bien,Pourquoi n est je pas droit à l allocation puisque je ne dépassé pas le plafond,-,-,-,-,-,-,button
555,Simuler mes droits sociaux,2021/03/15 17:30:05,2716644,Moyen,Les aides sont toujours pour les mêmes personnes. Les classes moyennes sont sont toujours bonnes à payer mais n'ont jamais le droit à quoi que ce soit. Vive la france,Bon,-,-,-,-,-,button
556,Simuler mes droits sociaux,2021/03/15 14:42:14,2715590,Pas bien,Je suis seule avec 2 enfants et je suis en arrêt maladie longue durée et mes droits sont épuisés. La simulation dit que je n'ai droit à aucune aide donc c'est qu'il y a un bug quelque part. ,Moyen,Moyen,La démarche n'a pas fonctionné,-,-,-,button
557,Simuler mes droits sociaux,2021/03/15 14:33:45,2715545,Moyen,j'ai fait la demande d'un logement avec assenceur pas de réponse depuis 11 mois,-,Bon,-,-,-,-,button
558,Simuler mes droits sociaux,2021/03/15 11:24:12,2714510,Moyen,j aimerais savoir ci je peux avoir une aide pour achete une voiture pour faire les missions d interim parceque mon vehicule n es plus valide des aujourdhui ,-,-,"Manque d'informations avant de commencer la démarche ; Manque d'informations sur la suite, le délai... ; Autre",-,-,-,button
559,Simuler mes droits sociaux,2021/03/15 05:54:35,2713450,Pas bien,accès compte ameli.fr bloquer donc aucune démarche possible,Bon,Bon,Difficulté à joindre les pièces justificatives,-,Un agent administratif,-,button
560,Simuler mes droits sociaux,2021/03/15 01:18:53,2713388,Moyen,Trop approximatif et si on est pas allocataire on est bloqué ,Moyen,Moyen,"La démarche n'a pas fonctionné ; Manque d'informations sur la suite, le délai...",-,"Un(e) proche ; Internet (site, forum…)",-,button
561,Simuler mes droits sociaux,2021/03/14 22:18:48,2713184,Pas bien,Les aides sont toujours pour les mêmes et je n'y jamais droit ,Moyen,Moyen,Autre,-,-,-,button
562,Simuler mes droits sociaux,2021/03/14 19:28:30,2712663,Très bien,Non je pense avoir très bien compris les différentes démarches que je peux tenter afin d'obtenir des aides,Bon,Bon,-,-,-,-,button
563,Simuler mes droits sociaux,2021/03/14 18:02:10,2712211,Moyen,Resultat montant apl 270€ car calculé sur revenu 2019 caf 240€ calculé sur 6 derniers mois,Bon,Bon,-,-,-,-,button
564,Simuler mes droits sociaux,2021/03/14 16:24:55,2711841,Très bien,les simulations effectuées ne correspondent pas à ma situation et la caf ne veut rien entendre. Qui croire c'est bizarre ,Bon,Bon,Autre,ras,Autre,ras,button
565,Simuler mes droits sociaux,2021/03/14 16:10:50,2711796,Moyen,On saisi le revenu fiscal de référence et non un salaire. Je voulais savoir à quelles aides j'aurai droits quand j'aurai mon nouveau travail car me rémunération va diminuer. Je n'ai donc pas la réponse. ,Bon,Bon,Autre,-,-,-,button
566,Simuler mes droits sociaux,2021/03/14 15:20:07,2711636,Très bien,Bonjour j'ai répondu à vos questions à la fin on ne peut pas changer les chiffres erronés !!! sinon rien à signaler.,Bon,Bon,-,-,-,-,button
567,Simuler mes droits sociaux,2021/03/14 14:38:23,2711480,Très bien,Les allocations données ne sont pas les mêmes pour la CAF? L'allocation logement ne correspond pas.,Bon,Bon,-,-,-,-,button
568,Simuler mes droits sociaux,2021/03/14 12:08:46,2711084,Pas bien,je fais une simulation prime d'activité et à la fin rien on me dit pas si je pourrais y avoir droit et le montant de cette prime ,Moyen,Moyen,"La démarche n'a pas fonctionné ; Manque d'informations sur la suite, le délai...",-,-,-,button
569,Simuler mes droits sociaux,2021/03/14 11:54:51,2711035,Moyen,JE N AI PAS LA FIN DES RESULTATS MERCI,Bon,Bon,-,-,-,-,button
570,Simuler mes droits sociaux,2021/03/14 08:29:30,2710445,Pas bien,"Votre simulateur ne correspond pas aux critères de calcul de la CAF, les informations demandées ne sont pas les mêmes et de ce fait le résultat aussi. Fausse joie, déception.",Moyen,Moyen,Autre,"Simple d'utilisation, résultat erroné",-,-,button
571,Simuler mes droits sociaux,2021/03/13 20:07:22,2709885,Très bien,"J'aurais apprécié être éligible à des aides: je me lève tôt le matin et me couche tard le soir pour travailler et gagner quelques euros, je paie ma taxe d'habitation, mes impôts, je suis une vache à lait et je n'ai jamais le droit à retour sur investissement. C'est trop injuste.",Bon,Bon,-,-,-,-,button
572,Simuler mes droits sociaux,2021/03/13 17:50:27,2709353,Très bien,tres bien,Bon,Bon,-,-,-,-,button
573,Simuler mes droits sociaux,2021/03/13 10:50:19,2707799,Pas bien,Le résultat est improbable et incorrect,Bon,Bon,-,-,-,-,button
574,Simuler mes droits sociaux,2021/03/12 23:58:15,2707050,Très bien,Présentation claire et réactive. Merci,Bon,Bon,-,-,-,-,button
575,Simuler mes droits sociaux,2021/03/12 19:08:01,2706260,Très bien,Impossible pour une personne âgée de réaliser seule la démarche,Moyen,Bon,Manque d'informations avant de commencer la démarche,-,-,-,button
576,Simuler mes droits sociaux,2021/03/12 15:17:39,2704940,Pas bien,"Bonjour Je suis seule devant cet ordinateur,je suis française ,sans ressources et la mafia socialiste me demande de partager,0758164920 je ne partage rien avec personne ni mon aah ni mon rsa ni ma future retraite qui est virer sur un autre comptes du credit marseillait a beziers je n aivait pas de societaire ni colocatrice,ni dieu ni maitre.j ai besoin d argent 900 euro que mes droits sociaux me les accordes et l gbt me les vole.",-,-,-,-,-,-,button
577,Simuler mes droits sociaux,2021/03/12 12:34:46,2704106,Pas bien,"Les données du simulateur stipule que j'ai droit à l'APL, mais sur le site de la CAF je n'y ai pas droit.",Bon,Bon,Autre,Informations erronés,Autre,Simulateur d'aide,button
578,Simuler mes droits sociaux,2021/03/12 09:16:45,2702953,Pas bien,Le resultat n'apparait pas !!,-,-,-,-,-,-,button
579,Simuler mes droits sociaux,2021/03/12 08:14:57,2702719,Très bien,Parfait !,Bon,Bon,Autre,Aucune,-,-,button
580,Simuler mes droits sociaux,2021/03/11 21:52:00,2702098,Pas bien,Je suis à la recherche d'un logement depuis 10 ans et dû trouver ,Moyen,Bon,"Manque d'informations avant de commencer la démarche ; La démarche n'a pas fonctionné ; Manque d'informations sur la suite, le délai...",-,Un(e) proche,-,button
581,Simuler mes droits sociaux,2021/03/11 20:21:58,2701739,Très bien,changer rien tout est claire,-,Bon,-,-,-,-,button
582,Simuler mes droits sociaux,2021/03/11 19:22:41,2701437,Très bien,merci beacoup,Bon,Bon,-,-,Une association,-,button
583,Simuler mes droits sociaux,2021/03/11 14:47:24,2699557,Pas bien,"toutes mes informations sont sur les differents site des servicues publique ( impots , pole emploi , ameli etc etc  ) malgre cela nous devons faire des recherches pour renseigner les differents champs  et la cela devient compliquer a reunir les infos   donc rien n est centralisé pour realiser une simulation ou connaitre les aides auqu elles j ai peut etre droit  cordialement ",Mauvais,Bon,Difficulté à joindre les pièces justificatives ; Autre,informations a rechercher  ,-,-,button
584,Simuler mes droits sociaux,2021/03/11 14:24:19,2699405,Moyen,le montant de la prime d'Activité estimé est bien supérieur (trois fois) à celui que je perçois en réalité avec les mêmes données auprès de la CAF. Donc impossible de savoir qui à raison..,Bon,Bon,Autre,-,-,-,button
585,Simuler mes droits sociaux,2021/03/11 13:20:56,2699024,Pas bien,"A chaque fois qu'on utilise un simulateur pour connaitre ses droits on doit remettre des informations sur notre situation et nos revenus alors que ces informations sont déjà données plusieurs fois aux administrations qui nous les réclament. A force c'est long, usant et déprimant et on laisse tomber les démarches pour nous permettre de connaitre nos droits et ensuite les obtenir.  ",Mauvais,Moyen,Autre,trop d'informations difficiles à avoir,-,-,button
586,Simuler mes droits sociaux,2021/03/11 13:17:10,2698993,Moyen,je recommencerai pour les démarches pas toujours claire,-,Moyen,Manque d'informations avant de commencer la démarche ; Difficulté à joindre les pièces justificatives,-,-,-,button
587,Simuler mes droits sociaux,2021/03/11 12:55:58,2698892,Pas bien,Je n'ai aucune information sur mes droits sociaux. Je cherche une mutuelle complémentaire. ,Moyen,Moyen,"La démarche n'a pas fonctionné ; Manque d'informations sur la suite, le délai...",-,-,-,button
588,Simuler mes droits sociaux,2021/03/11 11:44:09,2698420,Pas bien,Je  n'ai eu aucune réponse à part pour l'ouverture d'un lep,Moyen,Moyen,La démarche n'a pas fonctionné,-,Autre,demande sur aides financières retraités à faible revenus,button
589,Simuler mes droits sociaux,2021/03/11 10:37:36,2697920,Moyen,"Bonjour, en fait en résultat final pour la simulation, je n'ai rien obtenu????",Bon,Bon,La démarche n'a pas fonctionné,-,-,-,button
590,Simuler mes droits sociaux,2021/03/11 10:14:58,2697758,Très bien,Bonjour pour le moment ça été bon ,-,-,Le site ne s'affichait pas bien sur mobile,-,"Un agent administratif ; Internet (site, forum…)",-,button
591,Simuler mes droits sociaux,2021/03/10 19:49:51,2696080,Très bien,Je ne savais pas les pièces demandé a l'avance j'ai donc recherché sur internet mais pas très grave ,Bon,Bon,Manque d'informations avant de commencer la démarche,-,-,-,button
592,Simuler mes droits sociaux,2021/03/10 17:21:36,2695072,Moyen,Pas de calcul pour une allocation pour le logement et aucune information à ce sujet,Bon,Bon,Autre,pas d'info concernant une allocation pour le logement,-,-,button
593,Simuler mes droits sociaux,2021/03/10 15:39:41,2694366,Moyen,"Le montant du remboursement mensuel du prêt pour l'acquisition de la résidence principale n'est pas accepté par le système qui le ""réajuste"" systématiquement à 1,5 €",Bon,Bon,Autre,"Le montant du remboursement mensuel du prêt pour l'acquisition de la résidence principale n'est pas accepté par le système qui le ""réajuste"" systématiquement à 1,5 €",-,-,button
594,Simuler mes droits sociaux,2021/03/10 12:14:50,2693211,Moyen,Dommage que ce ne soit pas à jour et il manque des versements ,Bon,Bon,-,-,-,-,button
595,Simuler mes droits sociaux,2021/03/10 10:55:23,2692681,Pas bien," Droits sociaux  pour les fainéants , les éternels  assistés  qui n'ont pas cotisé 1 centime d'euro mais ont droit à tout, alors que les autres triment malgré leur âge et une lourde invalidité . La France est devenue le paradis des feignasses et des tricheurs qui n'hésitent pas à travailler au noir. Les droits fiscaux ne sont pas évoqués. NATURELLEMENT CA CONCERNE LES GENS QUI ONT TRAVAILLE LES PAUVRES CONS QUI PAIENT DES IMPOTS . VIVE LA FRANCE ET ATTENDONS LES PROCHAINES ELECTIONS.",-,Bon,-,-,-,-,button
596,Simuler mes droits sociaux,2021/03/10 10:19:43,2692463,Pas bien,ridicule perte de temps pour n'avoir aucune évaluation à mon droit à une aide pour la mutuelle,Moyen,Bon,"Manque d'informations sur la suite, le délai...",-,-,-,button
597,Simuler mes droits sociaux,2021/03/10 09:29:02,2692167,Moyen,Je souhaiterai qu'un responsable vérifie mon dossier d'APL au prés de la CAF DU NORD  59863 Lille cédex 9  numéro d'allocaire:2504561  Vous remerciant d'avance si cela est possible! Cordialement Mme Flenner Patricia,-,-,Autre,"Ca me note 250e d'APL alors que je perçois que170,99e",Un agent administratif,-,button
598,Simuler mes droits sociaux,2021/03/10 06:21:57,2691667,Très bien,"Mon dossier a été déposé le 29 octobre 2020, IDENTIFIANT FR74ZZZ402004                                               CGSS de la Guadeloupe                                               QUARTIER DE L'HOTEL DE VILLE                                              97110 BASSE-TERRE La réponse été positive puisque le montant annuel de la partie financière est de 360€. Mais il se trouve que je n'ai aucun moyen de savoir pourquoi sur mon dossier Ameli.fr, il est noté que je n'ai pas de mutuelle et aucun prélèvement par mois. Je ne voudrais pas que la sécurité sociale me mette dans les problèmes en me prélevant la totalité, ce qui serait mal venu. Pourriez-vous me répondre s'il vous plait.",Bon,Bon,"Manque d'informations sur la suite, le délai... ; Autre",aucune information après le dépôt de dossier,Autre,aide santé solidarité,button
599,Simuler mes droits sociaux,2021/03/09 19:53:43,2690638,Très bien,Votre site est vraiment super je me reconnecterais pour avancer dans mes démarches.,-,Bon,-,-,-,-,button
600,Simuler mes droits sociaux,2021/03/09 19:41:22,2690568,Pas bien," LE PROBLEME NE VIEN PAS DE VOTRE SITE;MAIS DU FAITE QUE  LES AUTRES SITE SUR LES LEQUEL NOUS SOMMES ENVOYé NOUS DISENT QUE NOUS N AVONS DROIT A RIEN , PAS COMPREHENSIBLE ",Bon,Bon,Autre,"BON SITE ET AIDE ,MAIS QUI NE FONCTIONNE PAS SUR LES AUTRES SITES EN QUESTION ",Autre, JAURAIS EUT BESOIN UN AGENT ADMINISTRATIF POUR COMPRENDRE POURQUOIS ,button
601,Simuler mes droits sociaux,2021/03/09 16:35:04,2689230,Moyen,Aide au personne âgée aide ou augmontationde l aide au logement caff,Bon,Bon,Difficulté à joindre les pièces justificatives,-,Autre,-,button
602,Simuler mes droits sociaux,2021/03/09 16:19:54,2689135,Pas bien,etudie mon dossier svp merci,Mauvais,Moyen,"Manque d'informations avant de commencer la démarche ; La démarche n'a pas fonctionné ; Difficulté à joindre les pièces justificatives ; Manque d'informations sur la suite, le délai...",-,Un(e) proche,-,button
603,Simuler mes droits sociaux,2021/03/09 16:18:29,2689124,Très bien,Toujours ce décalage par rapport à la situation réelle.Ce qui peut être grave et même très grave en certains cas.,Bon,Bon,-,-,-,-,button
604,Simuler mes droits sociaux,2021/03/09 13:10:15,2687912,Très bien,"bonjour , je ne comprends pas la baisse de mon montant retraite et complément retraite pour un total de 48 euros mensuel ce qui est énorme pour moi + l'allocation logement qui se mois ci à été de 89 euros à la place de 270 euros . Ma situation n'a pas change bien au contraire cela c'est aggravé puisque  mon APL à baissé ce qui est incompréhensible . je suis dans un état moral indescriptible , je ne peux plus vivre ainsi . Je vous demande SVP de l'aide et de la compréhension . Merci .  Mme Claude Pradines  06 37 04 24 43",Bon,Bon,-,-,-,-,button
605,Simuler mes droits sociaux,2021/03/09 12:35:40,2687697,Moyen,la simulation qui promet des droits ne correspond pas à la CAF qui n'en propose aucun?????,Bon,Bon,Autre,-,-,-,button
606,Simuler mes droits sociaux,2021/03/09 12:12:11,2687558,Pas bien,"Demande cheque energie refusé sans aucun motif Aspa traine bientot plus de 4 mois, mais le rsa supprimer des que j'ai touché 507 euros de retraite j'attend pendant ce temps galère",Bon,Bon,-,-,-,-,button
607,Simuler mes droits sociaux,2021/03/09 11:32:17,2687246,Moyen,"Résultats complètement erronés... en étant salariée avec un salaire de 1800 €, on me dit que j'ai le droit au RSA et à la complémentaire santé...",Bon,Bon,-,-,-,-,button
608,Simuler mes droits sociaux,2021/03/08 23:26:16,2685608,Très bien,Je n'ai jamais eu de ma vie de compte à la Caf,-,-,Autre,Je n'ai jamais eu de ma vie de compte à la Caf,Autre,Je n'ai jamais eu de ma vie de compte à la Caf,button
609,Simuler mes droits sociaux,2021/03/08 16:38:37,2683317,Pas bien,"Bonjour, urgent en as besoin d'aide pour rectifier une erreur pour les apl Tel:0762666259 E-mail :dasilva.69@yahoo.com Cordialement ",Mauvais,Mauvais,Manque d'informations avant de commencer la démarche ; La démarche n'a pas fonctionné ; Difficulté à joindre les pièces justificatives ; Autre,"Bonjour, Veuillez me contacter au 0762666259 suite à une fausse déclaration de votre part sur le revenu indemnités journalière pour la caf,",Un agent administratif,-,button
610,Simuler mes droits sociaux,2021/03/08 16:28:07,2683240,Pas bien,"Bonjour le site me dit que j ai des droits et quand je fais la demande rien ne fonctionne malgré mon déplacement à la caf qui confirme bien mais 30% d abattements pour invalidité, cotorep à plus 50% interdit de travaillé et veuve la totale et toujours aucune réponse et surtout de solutions.Cordialement",Moyen,Moyen,"Manque d'informations avant de commencer la démarche ; Difficulté à joindre les pièces justificatives ; Manque d'informations sur la suite, le délai...",-,"Un agent administratif ; Internet (site, forum…)",-,button
611,Simuler mes droits sociaux,2021/03/08 16:26:41,2683226,Moyen,"Le simulateur est totalement hors de la réalité, en effet il m'annonce de l'aide APL a hauteur de 200€ , certes ca n'est qu'indicatif mais entre 0€ en réalité et 200e annoncé par votre site, je n'en vois pas l'intérêt, c'est loin de la réalité",Bon,Bon,-,-,-,-,button
612,Simuler mes droits sociaux,2021/03/08 12:19:57,2681590,Très bien,114 € dont j ai fait la demande en 02/2020,Bon,Bon,"Manque d'informations sur la suite, le délai...",-,Autre,-,button
613,Simuler mes droits sociaux,2021/03/08 12:17:27,2681566,Moyen,Des 114 € en plus de mon aah ,Bon,Bon,-,-,Autre,-,button
614,Simuler mes droits sociaux,2021/03/08 12:08:39,2681500,Très bien,J aurais voulu savoir si je peux passer a 80% car je suis entré 50 et 79 et j'ai demandé à la mdph les 114 € en plus je dois les rappeler en avril pour la réponse et j aurais voulu savoir aussi en admettant que je suis en couple est-ce que je pourrais continuer a percevoir mon aah merci ,Bon,Bon,-,-,Autre,-,button
615,Simuler mes droits sociaux,2021/03/08 11:37:40,2681272,Pas bien,Resultat non conforme à la réalité APL:résultat de la simulation 270€ CAF 240€,Bon,Bon,-,-,-,-,button
616,Simuler mes droits sociaux,2021/03/08 09:25:20,2680360,Pas bien,je n'ai que 80euros apl,-,Bon,"Manque d'informations sur la suite, le délai...",-,Un agent administratif,-,button
617,Simuler mes droits sociaux,2021/03/07 21:48:06,2679623,Moyen,Plus simple,-,-,La démarche n'a pas fonctionné,-,-,-,button
618,Simuler mes droits sociaux,2021/03/07 21:10:45,2679510,Pas bien,Votre simulation et pas à jour les loi pour allocations logements on changer aujourd'hui elle son adapté à la situation du jour et non 2ans en arrière ,Mauvais,Mauvais,Manque d'informations avant de commencer la démarche,-,Un(e) proche,-,button
619,Simuler mes droits sociaux,2021/03/07 12:05:25,2677330,Pas bien,"Le résultat ""LEP"" est pour le moins surprenant!! pas de réponse précise sur ce dont on peut percevoir ou non d'ailleurs.",Bon,Bon,"Manque d'informations sur la suite, le délai...",-,-,-,button
620,Simuler mes droits sociaux,2021/03/07 11:47:37,2677253,Pas bien,"aucune reponse a la fin ,du temps perdu,pas d'explication ,pas de reponse ?",Bon,Bon,La démarche n'a pas fonctionné,-,Un agent administratif,-,button
621,Simuler mes droits sociaux,2021/03/07 11:21:06,2677112,Moyen,C est bien d avoir des informations le problème viens des organismes j ai fait une demante d APL le 15/10/2020 et envoyé 5 foie les documents ainsi que mon bailleur a ce jour il n on toujours pas traité ma demande ,Moyen,Moyen,Autre,-,-,-,button
622,Simuler mes droits sociaux,2021/03/06 10:57:08,2673710,Très bien,non,Bon,Bon,-,-,-,-,button
623,Simuler mes droits sociaux,2021/03/06 10:52:40,2673685,Très bien,non,Bon,Bon,-,-,-,-,button
624,Simuler mes droits sociaux,2021/03/06 09:06:28,2673194,Moyen,"Quand j'ai voulu faire une simulation pour connaître mes droits, un de mes enfants n'était pas enregistré, et je n'ai pas trouvé comment accéder à ma situation familiale pour la modifier.",Bon,Bon,Autre,"éléments sur la situation familiale erronnés, je ne vois pas comment les modifier",-,-,button
625,Simuler mes droits sociaux,2021/03/06 08:04:17,2673031,Moyen,bonjour je ne comprends pas quand je fais la simulation j ai droit a LAPL PRIME D ACTIVITE 5260 euros) est au final j ai 40 euros de prime d activité par la caf . bonne journee,Moyen,Moyen,Autre,-,-,-,button
626,Simuler mes droits sociaux,2021/03/05 23:11:31,2672717,Moyen,"Bonsoir, Je conçois que j'aurai besoin d'une mutuelle santé. Hélas il n'y a aucune protection des abus de ce genre de préstataire. J'ai contisée 800€ sur 10 mois, mes lunettes je les payé sans aucun recours malgré mon adhésion. Je n'ai plus confiance.",-,-,-,-,Autre,Une mutuelle santé,button
627,Simuler mes droits sociaux,2021/03/05 22:48:24,2672683,Moyen,pas de résultat,Moyen,Moyen,La démarche n'a pas fonctionné,-,-,-,button
628,Simuler mes droits sociaux,2021/03/05 21:57:41,2672562,Très bien,Non,-,-,Difficulté à joindre les pièces justificatives,-,-,-,button
629,Simuler mes droits sociaux,2021/03/05 18:03:52,2671496,Pas bien,Aucun résultat donc je vois pas l'interêt nul comme d' habitude,-,-,-,-,-,-,button
630,Simuler mes droits sociaux,2021/03/05 17:54:32,2671425,Moyen,"L'écart entre les résultats du simulateur et la réalité des allocations perçues (bien inférieures voire même non accessibles, je viens de le vérifier avec mon propre cas) est assez stupéfiant ! (Et on se demande pourquoi les citoyens n'accordent plus aucune confiance aux informations ""officielles"" fournies à leur source même ! Quelle incurie !!!) Bref. Il faudrait (peut-être ?) très vite mettre à jour les simulateurs sur les nouvelles modalités de calcul des prestations à partir de janvier 2021 : à présent, les calculs sont fait par TRIMESTRES, basés sur les revenus du trimestre précédent. Le revenu annuel de référence devient ""glissant"" = les 12 mois précédents la date du calcul, et non pas l'année civile précédente. Merci !",Bon,Bon,-,-,-,-,button
631,Simuler mes droits sociaux,2021/03/05 15:58:17,2670735,Très bien,vivre mieux qu'avec 900.00 euros de ratraite par mois ?,Bon,Bon,-,-,Autre,-,button
632,Simuler mes droits sociaux,2021/03/05 13:22:37,2669723,Pas bien,nul,Mauvais,Moyen,Manque d'informations avant de commencer la démarche ; Autre,-,Autre,-,button
633,Simuler mes droits sociaux,2021/03/05 13:14:33,2669688,Moyen,"Pas le droit à l,apl pourquoi Je vais être en retaite ,et c,est une catastrophe. Tand années travailler j,ai laissez ma santé en invalidite2 Ass pôle emploi et non l,are.pole emploi Ass allocation social solidarité RSA pas compte aux impôts Invalidité 2 a déclaré Aah non delarable il y a un lézard pour la reconnaissance Des malades ahh ou invalidité 2 Expliquer cette différence ?",-,-,Autre,-,Un agent administratif,-,button
634,Simuler mes droits sociaux,2021/03/05 11:51:48,2669220,Pas bien,Les liens vers les aides ne fonctionnent pas ou nous font tourner en rond vers les différents sitessans jamais atteindre l'objectif,-,-,La démarche n'a pas fonctionné,-,Un agent administratif,-,button
635,Simuler mes droits sociaux,2021/03/05 07:59:31,2667773,Pas bien,pourquoi sur les simulations on a le droit à des aides et que la caf bloque tout et n'accorde rien ? de même que la sécurité sociale refuse la complémentaire santé,Bon,Bon,La démarche n'a pas fonctionné,-,-,-,button
