ID,text,label,tweet_type,tweet_topic,clean_tweet,old_tweets
97,@ @ مرحبا ...التطبيق مايفتح معي من كم يوم يكتب الخدمه غير متاحه !!,Negative,Problem,System Problems,مرحبا التطبيق مايفتح معي يوم يكتب الخدمه متاحه,مرحبا التطبيق مايفتح معي يوم يكتب الخدمه متاحه
98,"@ @hassan2u2 السلام عليكم 
كيف طريقة التحويل الى اس تي سي وهل فيه عروض عند التحويل",Neutral,Request,General,السلام_عليكم طريقه التحويل اس_سي وهل عروض التحويل,السلام عليكم طريقه التحويل اس سي وهل عروض التحويل
99,"@ السلام عليكم 
اخوي انا عندي رقمي الرسمي ومشترك بباقة  مفوتر 4 وابي الغيها بحيث تصير مسبقة دفع والغي الشرائح نهائي",Neutral,Request,General,السلام_عليكم اخوي عندي رقمي الرسمي ومشترك باقه_مفوتر 4 وابي الغيها بحيث تصير مسبقه دفع والغي الشراءح نهاءي,السلام عليكم اخوي عندي رقمي الرسمي ومشترك باقه مفوتر 4 وابي الغيها بحيث تصير مسبقه دفع والغي الشراءح نهاءي
100,@ لا بس شفت الشبكة نايمة في طريق الرياض من كم سنه قلت انبهكم!,Negative,Problem,Internet Issues,شفت الشبكه نايمه طريق الرياض سنه قلت انبهكم,شفت الشبكه نايمه طريق الرياض سنه قلت انبهكم
101,@ انا ابي افعل النت عندي ولا قدرت سواء عن طريق برنامج ماي اس تي سي او عن طريق تطبيق بنك الراجحي من أمس على الحال,Negative,Problem,Internet Issues,ابي افعل النت عندي قدرت سواء طريق برنامج اس_سي طريق تطبيق بنك الراجحي الحال,ابي افعل النت عندي قدرت سواء طريق برنامج اس سي طريق تطبيق بنك الراجحي الحال
102,@ @m7z_m عزيزي لي اسبوع انتظر الفروع توفر اجهزه السامسونج ولكن للاسف ولا فرع بالخبر يوفرها ممكن اعرف متى بتتوفر ؟؟,Neutral,Request,General,عزيزي اسبوع انتظر الفروع توفر اجهزه السامسونج لاسف فرع بالخبر يوفرها مكن اعرف بتوفر,عزيزي اسبوع انتظر الفروع توفر اجهزه السامسونج لاسف فرع بالخبر يوفرها مكن اعرف بتوفر
103,@السلام عليكم..عندي باقه مفوتر ٣ القديمه وعندي شريحتين اضافيه..هل اذا حولت الباقه الى مفوتر ماكس ٣ هل الشريحتين الاضافيه بتوقف؟؟,Neutral,Request,General,السلام عليكمعندي باقه_مفوتر ٣ القديمه وعندي شريحتين اضافيههل حولت الباقه مفوتر ماكس ٣ الشريحتين الاضافيه بتوقف,السلام عليكمعندي باقه مفوتر ٣ القديمه وعندي شريحتين اضافيههل حولت الباقه مفوتر ماكس ٣ الشريحتين الاضافيه بتوقف
104,@ خصم ٥٠٪ لذوي الاحتياجات الخاصه يشملهك باقه ٤ و ٣ شرايح  مجاناً,Neutral,Request,General,خصم_٥٠٪ لذوي الاحتياجات_الخاصه يشملهك باقه_٤ ٣ شرايح مجانا,خصم ٥٠٪ لذوي الاحتياجات الخاصه يشملهك باقه ٤ ٣ شرايح مجانا
106,@ @m_albahly في ذمتكم لي فلوس لم ولن اتنازل عنها هي في ذمة كل موظف ساعد الشركة على لهط دراهمي بغير حق ..,Negative,Problem,Financial,ذمتكم فلوس ولن اتنازل عنها ذمه موظف ساعد الشركه لهط دراهمي بغير حق,ذمتكم فلوس ولن اتنازل عنها ذمه موظف ساعد الشركه لهط دراهمي بغير حق
107,@ الحين ليش حياة مول تتقفل فيها كل الشبكات !! لازم تشوفون لهم حل مهي حالة اذا بكلم اطلع المول ؟؟,Negative,Problem,Residential,الحين ليش حياه_مول تقفل الشبكات لازم تشوفون حل مهي حاله بكلم اطلع المول,الحين ليش حياه مول تقفل الشبكات لازم تشوفون حل مهي حاله بكلم اطلع المول
108,@ @jawwy طيب وشبكة حياة مول اتمنى تشوفون وضعها لازم برج او زيادة قوة الاشارة,Negative,Problem,Residential,طيب وشبكه حياه_مول اتمني تشوفون وضعها لازم برج زياده قوه الاشاره,طيب وشبكه حياه مول اتمني تشوفون وضعها لازم برج زياده قوه الاشاره
109,@ م تم التواصل / سديت الفاتوره بس النت معلق مره,Negative,Problem,Internet Issues,تم التواصل سديت الفاتوره النت معلق مره,تم التواصل سديت الفاتوره النت معلق مره
110,"@ 
الوووو ياخي اخدموني مثل ماانتم اقوياء في اخذ حقوقكم 😖",Negative,Problem,Employee,الو ياخي اخدموني مانتم اقوياء حقوقكم,الو ياخي اخدموني مانتم اقوياء حقوقكم
111,@ @ ابي اسدد فاتورة بيتي فايبر كيف الطريقه قبل تفصلونها بسرعه,Neutral,Request,Residential,ابي اسد فاتوره بيتي فايبر الطريقه تفصلونها بسرعه,ابي اسد فاتوره بيتي فايبر الطريقه تفصلونها بسرعه
113,@  ردو ع الخاص,Negative,Problem,Employee,ردو الخاص,ردو الخاص
114,@ عندي الالياف ما تشتغل,Negative,Problem,Residential,عندي الالياف تشتغل,عندي الالياف تشتغل
115,@ لو سمحتو ابغى افعل خدمة رصيد اتصالات بس موجود ؟,Neutral,Request,General,سمحتو ابغي افعل خدمه رصيد اتصالات موجود,سمحتو ابغي افعل خدمه رصيد اتصالات موجود
116,@ شكواي منذ عام وتم حلها والان المشكلة عادت وليس جهازي بل جميع من في المنزل يصلهم خدمة موجود في بعض الاحيان ومن يزورني يحصل معه ذلك واجابتكم لي الان بنيت على شكواي منذ عام تقريبا؟!,Positive,Problem,Complaint,شكواي_عام وتم حلها والان المشكله عادت وليس جهازي المنزل يصلهم خدمه_موجود الاحيان يزورني يحصل معه واجابتكم بنيت شكواي_عام تقريبا,شكواي عام وتم حلها والان المشكله عادت وليس جهازي المنزل يصلهم خدمه موجود الاحيان يزورني يحصل معه واجابتكم بنيت شكواي عام تقريبا
117,@ @AbdullahMEissa احتاج مساعدتكم,Neutral,Request,General,احتاج مساعدتكم,احتاج مساعدتكم
119,"@ محد رد 
؟! https://t.co/QWd7TNZMj9",Negative,Problem,Employee,محد_رد,محد رد
120,"@YAI7I @ ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه بدري 
عشان يردون يخوي",Negative,Problem,Complaint,بدري عشان يردون يخوي,بدري عشان يردون يخوي
121,@pr_rc_jubail متى يوصل الألياف البصرية لحي المطرفية شارع الاغصان... الابراج ما تغطي 5G والنت ضعيف ونص كلام المدرسين في المنصه غير مفهوم بسبب الاتصال... هل فيه خطه وتاريخ اكتمالها؟ او حتى الآن ما في اي مشاريع او تواصل مع المعنيين؟ @,Negative,Problem,Internet Issues,يوصل الالياف_البصريه لحي المطرفيه شارع الاغصان الابراج تغطي 5G والنت ضعيف ونص كلام المدرسين المنصه مفهوم بسب الاتصال خطه وتاريخ اكتمالها مشاريع تواصل المعنين,يوصل الالياف البصريه لحي المطرفيه شارع الاغصان الابراج تغطي 5G والنت ضعيف ونص كلام المدرسين المنصه مفهوم بسب الاتصال خطه وتاريخ اكتمالها مشاريع تواصل المعنين
122,صباحي انتم محظوظ فيكم حقيقه @ ياحبي لكم 🤍,Positive,Irrelevant,Irrelevant,صباحي محظوظ فيكم حقيقه ياحبي 🤍,صباحي محظوظ فيكم حقيقه ياحبي 🤍
123,@ ياليت تشوفوا حل للاتصال والنت  ل stc كانت شريحتي سوا وغيرتها ل موبايلي ع اقدر اشبك على النت والاتصال,Negative,Problem,Internet Issues,ياليت تشوفوا حل لاتصال والنت stc كانت شريحتي_سوا وغيرتها موبايلي اقدر اشبك النت والاتصال,ياليت تشوفوا حل لاتصال والنت stc كانت شريحتي سوا وغيرتها موبايلي اقدر اشبك النت والاتصال
124,"@ وين الرد 
محد رد لا خاص ولا عام !!",Negative,Problem,Employee,وين الرد محد_رد خاص عام,وين الرد محد رد خاص عام
125,"@ @ مرحبا 
اخر موعد لسداد فاتورة النت قبل الانقطاع ٣٠/١٢ وانقطع اليوم وسددت قبل شوي وبرضو مافتح النت ، انا عارف انه بعد ماينقطع يقعد ٢٤ ساعه ' لكن هو قطع بتاريخ ٢٩ !!!!",Negative,Problem,Financial,مرحبا اخر موعد لسداد فاتوره النت الانقطاع ٣٠١٢ وانقطع اليوم وسدت شوي وبرضو مافتح النت عارف ماينقطع يقعد ٢٤ ساعه قطع بتاريخ ٢٩,مرحبا اخر موعد لسداد فاتوره النت الانقطاع ٣٠١٢ وانقطع اليوم وسدت شوي وبرضو مافتح النت عارف ماينقطع يقعد ٢٤ ساعه قطع بتاريخ ٢٩
126,@ متى تتوفر ان شاء الله؟,Neutral,Request,General,توفر شاء اله,توفر شاء اله
127,"@ السلام عليكم ، 
هل يوجد دفعه اولى اذا اخذت ايفون 13 برو ماكس اقساط اعلى سعه؟",Neutral,Request,MY STC,السلام_عليكم يوجد دفعه اولي اخذت ايفون 13 برو ماكس اقساط اعلي سعه,السلام عليكم يوجد دفعه اولي اخذت ايفون 13 برو ماكس اقساط اعلي سعه
128,@ ما تطلع لي جوي https://t.co/LE9IIBxQG9,Neutral,Request,System Problems,تطلع جوي,تطلع جوي
129,@ @mjeid_0 ياخي ليه ماتردون وتخلصون مشكلتي 🤌🏼,Negative,Problem,General,ياخي ليه ماتردون وتخلصون مشكلتي 🤌,ياخي ليه ماتردون وتخلصون مشكلتي 🤌
130,@ خلاص فعلته بطريقة ثانيه من mystc وحطيته بالرمز اليدوي,Neutral,Irrelevant,System Problems,خلاص فعلته بطريقه ثانيه mystc وحطيته بالرمز اليدوي,خلاص فعلته بطريقه ثانيه mystc وحطيته بالرمز اليدوي
131,"@ 
صباح الخير 
ألغيت رقمي المفوتر ونزلت لي مديوانية 
سلاماااات .. 
كيف كذا ؟؟",Negative,Problem,Financial,الخير الغيت رقمي المفوتر ونزلت مديوانيه سلامات,الخير الغيت رقمي المفوتر ونزلت مديوانيه سلامات
132,@ سوا بوست بلس,Neutral,Irrelevant,General,سوا_بوست بلس,سوا بوست بلس
133,@ بكم تفعيل مكالمات سوا لا محدود حق شهر؟,Neutral,Request,Product Prices,تفعيل مكالمات سوا محدود حق شهر,تفعيل مكالمات سوا محدود حق شهر
