Country/Territory,Title,Type,Link,URL,Digital Innovations,Data Infrastructure,Business Development Services,Enabling Environment for Digitalisation
jamaica,Draft Fisheries Policy 2008,Part of Existing Sector Document (Agriculture/Fisheries),https://www.moa.gov.jm/sites/default/files/pdfs/DRAFT%20FISHERIES%20POLICY%202008.pdf,https://www.moa.gov.jm/sites/default/files/pdfs/DRAFT FISHERIES POLICY 2008.pdf,,,,
jamaica,Final Draft Agriculture Sector Plan,Part of Existing Sector Document (Agriculture/Fisheries),http://lslandr.com/vision2030/wp-content/uploads/sites/4/2020/12/Microsoft-Word-Vision-2030-Jamaica-Final-Draft-Agriculture-Sector-Plan-%E2%80%A6.pdf,http://lslandr.com/vision2030/wp-content/uploads/sites/4/2020/12/Microsoft-Word-Vision-2030-Jamaica-Final-Draft-Agriculture-Sector-Plan-%E2%80%A6.pdf,,,,
jamaica,Youth In Agriculture Policy and Implementation Plan.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/jam177514.pdf,http://faolex.fao.org/docs/pdf/jam177514.pdf,,,,
jamaica,E-Powering Jamaica Master Implementation Plan,Part of National ICT/Digital Document,https://planipolis.iiep.unesco.org/en/2009/draft-master-implementation-plan-e-powering-jamaica-2012-national-ict-strategy-2007-2012-4800,https://planipolis.iiep.unesco.org/en/2009/draft-master-implementation-plan-e-powering-jamaica-2012-national-ict-strategy-2007-2012-4800,,,,
jamaica,Electronic Transactions Policy,Part of National ICT/Digital Document,Electronic Transactions pgs. 1-34.pdf (moj.gov.jm),https://moj.gov.jm/sites/default/files/laws/Electronic Transactions pgs. 1-34.pdf,,,,
jamaica,National Cyber Security Strategy,Part of National ICT/Digital Document,Jamaica-National-Cyber-Security-Strategy-2015.pdf (mset.gov.jm),https://www.mset.gov.jm/wp-content/uploads/2019/09/Jamaica-National-Cyber-Security-Strategy-2015.pdf,,,,
jamaica,"Electronic Transactions Act 

Electronic Transactions (Certification Service Providers Regulations)
",Part of National ICT/Digital Document,https://moj.gov.jm/sites/default/files/laws/Electronic%20Transactions%20pgs.%201-34.pdf,https://moj.gov.jm/sites/default/files/laws/Electronic Transactions pgs. 1-34.pdf,,,,
jamaica,Cybercrimes Act,Part of National ICT/Digital Document,Cybercrimes Act.pdf (moj.gov.jm),https://moj.gov.jm/sites/default/files/laws/Cybercrimes Act.pdf,,,,
jamaica,Information and Communications Technology Policy (ICT) Policy 2011,Part of National ICT/Digital Document,http://www.japarliament.gov.jm/attachments/596_Information%20and%20Communications%20Technology%20(ICT)%20Policy.pdf,http://www.japarliament.gov.jm/attachments/596_Information and Communications Technology (ICT) Policy.pdf,,,,
jamaica,Consumer Protection Act,Part of National ICT/Digital Document,Consumer Protection Act | Ministry of Justice - Government of Jamaica (moj.gov.jm),https://moj.gov.jm/laws/consumer-protection-act,,,,
kenya,Kenya Climate Smart Agriculture Implementation Framework.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/ken189345.pdf,http://faolex.fao.org/docs/pdf/ken189345.pdf,,,,
kenya,Agricultural Sector Transformation and Growth Strategy (ASTGS).,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/ken189053.pdf,http://faolex.fao.org/docs/pdf/ken189053.pdf,,,,
kenya,"Strategic Plan 2018-2022 for the Ministry of Agriculture, Livestock, Fisheries and Co-operatives.",Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/ken203437.pdf,http://faolex.fao.org/docs/pdf/ken203437.pdf,,,,
kenya,National Trade Policy,Part of Existing Sector Document (Other),http://faolex.fao.org/docs/pdf/ken147959.pdf,http://faolex.fao.org/docs/pdf/ken147959.pdf,,,,
kenya,Capacity Building Strategy for Agriculture Sector (2016-2021).,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/ken189996.pdf,http://faolex.fao.org/docs/pdf/ken189996.pdf,,,,
kenya,National Agricultural Research System Policy,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/ken147873.pdf,http://faolex.fao.org/docs/pdf/ken147873.pdf,,,,
kenya,Youth Agribusiness Strategy 2017-2021.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/ken171450.pdf,http://faolex.fao.org/docs/pdf/ken171450.pdf,,,,
kenya,National Agriculture Investment Plan (NAIP) 2019-2024.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/ken189052.pdf,#VALUE!,,,,
kenya,National Oceans and Fisheries Policy,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/ken147947.pdf,#VALUE!,,,,
kenya,Computer Misuse and Cybercrimes Act,Part of National ICT/Digital Document,http://www.parliament.go.ke/sites/default/files/2021-05/Computer%20Misuse%20and%20Cybercrimes%20%28Amendment%29%20Bill%2C%202021.pdf,http://www.parliament.go.ke/sites/default/files/2021-05/Computer Misuse and Cybercrimes %28Amendment%29 Bill%2C 2021.pdf,,,,
kenya,Data Protection Bill,Part of National ICT/Digital Document,http://parliament.go.ke/sites/default/files/2017-05/Data_Protection_Bill_2018.pdf,http://parliament.go.ke/sites/default/files/2017-05/Data_Protection_Bill_2018.pdf,,,,
kenya,Digital Economy Blueprint,Part of National ICT/Digital Document,Kenya-Digital-Economy-2019.pdf (ict.go.ke),https://www.ict.go.ke/wp-content/uploads/2019/05/Kenya-Digital-Economy-2019.pdf,,,,
kiribati,Digital Government Master Plan 2021,Part of National ICT/Digital Document,https://mict.gov.ki/publications/digital-government-master-plan,https://mict.gov.ki/publications/digital-government-master-plan,,,,
kiribati,Kiribati National Cybersecurity Strategy 2020,Part of National ICT/Digital Document,https://mict.gov.ki/publications/kiribati-national-cybersecurity-strategy-2020,https://mict.gov.ki/publications/kiribati-national-cybersecurity-strategy-2020,,,,
kiribati,Cybercrime Act 2021,Part of National ICT/Digital Document,https://mict.gov.ki/publications/cybercrime-act-2021,https://mict.gov.ki/publications/cybercrime-act-2021,,,,
kiribati,Kiribati Agriculture Strategy 2020-2030,Part of Existing Sector Document (Agriculture/Fisheries),https://gggi.org/site/assets/uploads/2020/03/Kiribati-Agriculture-Strategy.pdf,https://gggi.org/site/assets/uploads/2020/03/Kiribati-Agriculture-Strategy.pdf,,,,
kiribati,Kiribati National Fisheries Policy 2013-2025,Part of Existing Sector Document (Agriculture/Fisheries),https://spccfpstore1.blob.core.windows.net/digitallibrary-docs/files/36/36e601d65fe7167675f1d800e08281bd.pdf?sv=2015-12-11&sr=b&sig=uxRIYrJ%2FBk7gdhwqZ9lb3nQemMy7Eh1QSUnRCgRzy0A%3D&se=2022-10-04T09%3A17%3A32Z&sp=r&rscc=public%2C%20max-age%3D864000%2C%20max-stale%3D86400&rsct=application%2Fpdf&rscd=inline%3B%20filename%3D%22Anon_12_Kiribati_National_Fisheries_Policy.pdf%22,https://spccfpstore1.blob.core.windows.net/digitallibrary-docs/files/36/36e601d65fe7167675f1d800e08281bd.pdf?sv=2015-12-11&sr=b&sig=uxRIYrJ%2FBk7gdhwqZ9lb3nQemMy7Eh1QSUnRCgRzy0A%3D&se=2022-10-04T09%3A17%3A32Z&sp=r&rscc=public%2C%20max-age%3D864000%2C%20max-stale%3D86400&rsct=application%2Fpdf&rscd=inline%3B%20filename%3D%22Anon_12_Kiribati_National_Fisheries_Policy.pdf%22,,,,
kiribati,National ICT Policy,Part of National ICT/Digital Document,"National ICT Policy 2019 | Ministry of Information, Communications & Transport (mict.gov.ki)",https://mict.gov.ki/publications/national-ict-policy-2019,,,,
lesotho,Lesotho Electronic Transactions and Electronic Commerce Bill,Part of National ICT/Digital Document,https://www.itu.int/ITU-D/projects/ITU_EC_ACP/hipssa/events/2013/Lesotho/Lesotho_E-transactions%20Bill%202nd%20DRAFT%20clean.docx,https://www.itu.int/ITU-D/projects/ITU_EC_ACP/hipssa/events/2013/Lesotho/Lesotho_E-transactions Bill 2nd DRAFT clean.docx,,,,
lesotho,ICT Policy for Lesotho,Part of National ICT/Digital Document,Lesotho ICT Policy – Government of Lesotho (www.gov.ls),https://www.gov.ls/documents/lesotho-ict-policy/,,,,
lesotho,Lesotho National Broadband Policy 2014-2018,Part of National ICT/Digital Document,LesothoDraft_NBP.pdf (ellipsis.co.za),https://www.ellipsis.co.za/wp-content/uploads/2016/07/LesothoDraft_NBP.pdf,,,,
malawi,National Fisheries and Aquaculture Policy (NFAP).,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/mlw190922.pdf,http://faolex.fao.org/docs/pdf/mlw190922.pdf,,,,
malawi,Electronic Transactions and Cyber security Act,Part of National ICT/Digital Document,https://macra.mw/download/electronic-transaction-and-cyber-security-act-2016/,https://macra.mw/download/electronic-transaction-and-cyber-security-act-2016/,,,,
malawi,National ICT Policy,Part of National ICT/Digital Document,"https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Malawi_2013_Malawi_ICT_Policy.pdf#:~:text=The%20National%20Information%20and%20Communications%20Technology%20Policy%20has,poverty%20through%20sustainable%20economic%20growth%20and%20infrastructure%20development.",https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Malawi_2013_Malawi_ICT_Policy.pdf,,,,
malawi,Digital Economy Strategy,Part of National ICT/Digital Document,https://www.scribd.com/document/516025365/Malawi-Digital-Economy-Strategy,https://www.scribd.com/document/516025365/Malawi-Digital-Economy-Strategy,,,,
malawi,National Broadband Strategy 2019-2023,Part of National ICT/Digital Document,https://api.pppc.mw/storage/164/national-Broadband-col.pdf,https://api.pppc.mw/storage/164/national-Broadband-col.pdf,,,,
malawi,Cybersecurity Strategy,Part of National ICT/Digital Document,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/00019_07_Malawi%20national-cybersecurity-strategy.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/00019_07_Malawi national-cybersecurity-strategy.pdf,,,,
malawi,Digital Government Strategy,Part of National ICT/Digital Document,https://api.pppc.mw/storage/161/DIGITAL-GOVERNMENT-STRATEGY-BOOK.pdf,https://api.pppc.mw/storage/161/DIGITAL-GOVERNMENT-STRATEGY-BOOK.pdf,,,,
malawi,Draft Data Protection Act,Part of National ICT/Digital Document,https://www.malawi.gov.mw/.../18-malawi-data-protection-bill,https://www.malawi.gov.mw/.../18-malawi-data-protection-bill,,,,
malawi,National Wireless Broadband Plan,Part of National ICT/Digital Document,,#VALUE!,,,,
malawi,National Agriculture Policy,Part of Existing Sector Document (Agriculture/Fisheries),https://cepa.rmportal.net/Library/government-publications/national-agriculture-policy-2016/view,https://cepa.rmportal.net/Library/government-publications/national-agriculture-policy-2016/view,,,,
malaysia,National Internet of Things Strategic Roadmap,Part of National ICT/Digital Document,http://www.mimos.my/iot/National_IoT_Strategic_Roadmap_Book.pdf,http://www.mimos.my/iot/National_IoT_Strategic_Roadmap_Book.pdf,,,,
malaysia,National Broadband Implementation Strategy (National Broadband Initiative),Part of National ICT/Digital Document,"https://www.mcmc.gov.my/en/sectors/broadband/national-broadband-initiative#:~:text=The%20National%20Broadband%20Implementation%20Strategy%20or%20better%20known,household%20broadband%20penetration%20by%20the%20end%20of%202010.",https://www.mcmc.gov.my/en/sectors/broadband/national-broadband-initiative,,,,
malaysia,National Fiberisation and Connectivity Plan (NFCP),Part of National ICT/Digital Document,"https://www.malaysianwireless.com/2019/08/nfcp-billion-malaysia-connectivity/#:~:text=The%20Malaysia%20Government%20approved%20the%20implementation%20of%20National,for%20all%20Malaysians%20in%20urban%20and%20rural%20areas.",https://www.malaysianwireless.com/2019/08/nfcp-billion-malaysia-connectivity/,,,,
malaysia,Public Sector ICT Strategy 2016-2020,Part of National ICT/Digital Document,"Public Sector ICT
Strategy 2016-2020",https://www.malaysia.gov.my/portal/content/130,,,,
malaysia,Digital Economy Blueprint,Part of National ICT/Digital Document,https://www.epu.gov.my/sites/default/files/2021-02/malaysia-digital-economy-blueprint.pdf,https://www.epu.gov.my/sites/default/files/2021-02/malaysia-digital-economy-blueprint.pdf,,,,
malaysia,National Agrofood Policy 2021-2030,Part of Existing Sector Document (Agriculture/Fisheries),"https://www.mafi.gov.my/documents/20182/361765/Executive+Summary+National+Agrofood+Policy+2021-2030+%28NAP+2.0%29-min.pdf/2320d744-0335-4d68-80bd-9f0e464f232a#:~:text=National%20Agrofood%20Policy%2C%202021%2D2030,prioritising%20food%20security%20and%20nutrition.",https://www.mafi.gov.my/documents/20182/361765/Executive+Summary+National+Agrofood+Policy+2021-2030+%28NAP+2.0%29-min.pdf/2320d744-0335-4d68-80bd-9f0e464f232a,,,,
malaysia,National e-Commerce Strategic Roadmap (NeSR) 2016 -2020,Part of National ICT/Digital Document,https://tradecca.thecommonwealth.org/document/national-e-commerce-strategic-roadmap-nesr-2016-2020,https://tradecca.thecommonwealth.org/document/national-e-commerce-strategic-roadmap-nesr-2016-2020,,,,
maldives,National Fisheries and Agricultural Policy 2019-2029,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/mdv205058.pdf,http://faolex.fao.org/docs/pdf/mdv205058.pdf,,,,
malta,National Agricultural Policy for the Maltese Islands.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/mlt189509.pdf,http://faolex.fao.org/docs/pdf/mlt189509.pdf,,,,
malta,Digital Malta: National Digital Strategy 2014-2020,Part of National ICT/Digital Document,"https://www.mitla.org.mt/publications/digital-malta-vision/#:~:text=Digital%20Malta%3A%20National%20Digital%20Strategy%202014-2020%20The%20National,enablers%3A%20Regulation%20and%20Legislation%2C%20Infrastructure%20and%20Human%20Capital.",https://www.mitla.org.mt/publications/digital-malta-vision/,,,,
malta,Electronic Commerce Act,Part of National ICT/Digital Document,https://economy.gov.mt/en/legislations/mca/electronic%20commerce%20act%20%28chapter%20426%20laws%20of%20malta%29.pdf,https://economy.gov.mt/en/legislations/mca/electronic commerce act %28chapter 426 laws of malta%29.pdf,,,,
malta,Data Protection Act,Part of National ICT/Digital Document,https://maltacvs.org/wp-content/uploads/2019/05/Data-Protection-Act.pdf,https://maltacvs.org/wp-content/uploads/2019/05/Data-Protection-Act.pdf,,,,
mauritius,"Strategic Plan for the Food Crop, Livestock and Forestry Sectors (2016-2020).",Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/mat159356.pdf,http://faolex.fao.org/docs/pdf/mat159356.pdf,,,,
mauritius,Electronic Transactions Act,Part of National ICT/Digital Document,"https://attorneygeneral.govmu.org/Documents/Laws%20of%20Mauritius/A-Z%20Acts/E/ELECTRONIC%20TRANSACTIONS%20ACT,%20No%2023%20of%202000.pdf","https://attorneygeneral.govmu.org/Documents/Laws of Mauritius/A-Z Acts/E/ELECTRONIC TRANSACTIONS ACT, No 23 of 2000.pdf",,,,
mauritius,National Broadband Policy 2012-2020 (NBP2012),Part of National ICT/Digital Document,http://ictexport.govmu.org/English//DOCUMENTS/NATIONALBROADBAND2012.PDF,http://ictexport.govmu.org/English/DOCUMENTS/NATIONALBROADBAND2012.PDF,,,,
mauritius,Digital Mauritius 2030 Strategic Plan,Part of National ICT/Digital Document,https://ncb.govmu.org/ncb/strategicplans/DigitalMauritius2030.pdf,https://ncb.govmu.org/ncb/strategicplans/DigitalMauritius2030.pdf,,,,
mauritius,Digital Government Transformation Strategy 2018-2022,Part of National ICT/Digital Document,https://cib.govmu.org/Documents/Reports/Digital%20Government%20Strategy%202018-2022.pdf,https://cib.govmu.org/Documents/Reports/Digital Government Strategy 2018-2022.pdf,,,,
mauritius,Cybercrime Strategy 2017-2019,Part of National ICT/Digital Document,https://ncb.govmu.org/ncb/strategicplans/CybercrimeStrategy2017-2019.pdf,https://ncb.govmu.org/ncb/strategicplans/CybercrimeStrategy2017-2019.pdf,,,,
mauritius,"The Data Protection Act, amended 2017",Part of National ICT/Digital Document,https://dataprotection.govmu.org/Pages/The%20Law/Data-Protection-Act-2017.aspx,https://dataprotection.govmu.org/Pages/The Law/Data-Protection-Act-2017.aspx,,,,
mauritius,The Computer Misuse and Cybercrime Act,Part of National ICT/Digital Document,https://president.govmu.org/Documents/Legislations/COMPUTER_MISUSE.pdf,https://president.govmu.org/Documents/Legislations/COMPUTER_MISUSE.pdf,,,,
mauritius,Mauritius Artificial Intelligence (AI) Strategy,Part of National ICT/Digital Document,https://cib.govmu.org/Documents/Strategies/Mauritius%20AI%20Strategy%20%287%29.pdf,https://cib.govmu.org/Documents/Strategies/Mauritius AI Strategy %287%29.pdf,,,,
mauritius,National Open Data Policy,Part of National ICT/Digital Document,https://mitci.govmu.org/Documents/Strategies/Mauritius%20Open%20Data%20Policy%20May%202017.pdf,https://mitci.govmu.org/Documents/Strategies/Mauritius Open Data Policy May 2017.pdf,,,,
mauritius,National Cyber Security Strategy 2014-2019,Part of National ICT/Digital Document,https://nsarchive.gwu.edu/sites/default/files/documents/5014252/Mauritian-Government-National-Cyber-Security.pdf,https://nsarchive.gwu.edu/sites/default/files/documents/5014252/Mauritian-Government-National-Cyber-Security.pdf,,,,
mauritius,"Information and Communication Technologies Act 2001, amended December 2018",Part of National ICT/Digital Document,https://en.unesco.org/creativity/sites/creativity/files/qpr/icta_act.pdf,https://en.unesco.org/creativity/sites/creativity/files/qpr/icta_act.pdf,,,,
mauritius,Mauritius e-Government Strategy 2013-2017,Part of National ICT/Digital Document,fistpage (govmu.org),https://cib.govmu.org/Documents/Reports/e-GovStrategyActionPlanV1.pdf,,,,
mauritius,National Open Source Software Strategy for the Republic of Mauritius,Part of National ICT/Digital Document,OpenSourceSoftwareStrategy.pdf (govmu.org),https://ncb.govmu.org/ncb/strategicplans/OpenSourceSoftwareStrategy.pdf,,,,
mozambique,Strategic Plan for the Development of the Agriculture Sector (PEDSA) 2011-2020,Part of Existing Sector Document (Agriculture/Fisheries),https://www.agricultura.gov.mz/wp-content/uploads/2018/01/PEDSA_2011_2020.pdf,https://www.agricultura.gov.mz/wp-content/uploads/2018/01/PEDSA_2011_2020.pdf,,,,
mozambique,National ICT Policy,Part of National ICT/Digital Document,https://www.portaldogoverno.gov.mz/por/content/download/1079/9176/version/1/file/Politica+de+informatica.pdf,https://www.portaldogoverno.gov.mz/por/content/download/1079/9176/version/1/file/Politica+de+informatica.pdf,,,,
mozambique,Electronic Transactions Act,Part of National ICT/Digital Document,https://moj.gov.jm/sites/default/files/laws/Electronic Transactions pgs. 1-34.pdf,https://moj.gov.jm/sites/default/files/laws/Electronic Transactions pgs. 1-34.pdf,,,,
mozambique,National ICT Implementation Strategy 2002 and 2006 - Digital Inclusion in Mozambique,Part of National ICT/Digital Document,https://www.portaldogoverno.gov.mz/por/content/download/1432/12117/version/1/file/Estrat%C3%A9gia+de+Implementa%C3%A7%C3%A3o+Pol%C3%ADtica+Inform%C3%A1tica.pdf,https://www.portaldogoverno.gov.mz/por/content/download/1432/12117/version/1/file/Estrat%C3%A9gia+de+Implementa%C3%A7%C3%A3o+Pol%C3%ADtica+Inform%C3%A1tica.pdf,,,,
namibia,"Ministry of Agriculture, Water & Forestry - Strategic Plan 2017/18-2021/22.",Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/nam175554.pdf,http://faolex.fao.org/docs/pdf/nam175554.pdf,,,,
namibia,Namibian Agriculture Marketing and Trade Policy and Strategy.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/nam188595.pdf,http://faolex.fao.org/docs/pdf/nam188595.pdf,,,,
namibia,Cybercrime Bill,Part of National ICT/Digital Document,,#VALUE!,,,,
namibia,Telecommunications Policy for the Republic of Namibia,Part of National ICT/Digital Document,Microsoft Word - NMICT - Telecommunications Policy 18 February 2009 v10.0 PA Final ICT#8 (researchictafrica.net),https://www.researchictafrica.net/countries/namibia/NMICT_Telecommunications_Policy_2009.pdf,,,,
namibia,Fisheries Policy,Part of Existing Sector Document (Agriculture/Fisheries),https://wikileaks.org/fishrot/database/raw_data/lg_pdf_view/8a47e6e5548493cb37cd0553a89e73ad.pdf,https://wikileaks.org/fishrot/database/raw_data/lg_pdf_view/8a47e6e5548493cb37cd0553a89e73ad.pdf,,,,
namibia,National Broadcasting POlicy,Part of National ICT/Digital Document,https://kipdf.com/queue/broadcasting-policy-for-the-republic-of-namibia_5b3038e4097c47a3308b464d.html,https://kipdf.com/queue/broadcasting-policy-for-the-republic-of-namibia_5b3038e4097c47a3308b464d.html,,,,
namibia,National ICT Policy 2008,Part of National ICT/Digital Document,https://www.researchictafrica.net/countries/namibia/NMICT_IT_Policy_2008.pdf,https://www.researchictafrica.net/countries/namibia/NMICT_IT_Policy_2008.pdf,,,,
namibia,Electronic Transactions and Communications Bill,Part of National ICT/Digital Document,Electronic Transactions Act 4 of 2019 (lac.org.na),https://www.lac.org.na/laws/annoSTAT/Electronic Transactions Act 4 of 2019.pdf,,,,
nauru,Cybercrime Act 2015,Part of National ICT/Digital Document,"ronlaw.gov.nr/nauru_lpms/files/acts/a59d9691f5a195412b877493a2a95e8b.pdf#:~:text=CYBERCRIME ACT 2015 No. 14 of 2015 An,offences in Nauru and for other related purposes.",http://ronlaw.gov.nr/nauru_lpms/files/acts/a59d9691f5a195412b877493a2a95e8b.pdf,,,,
nauru,Nauru ICT Policy,Part of National ICT/Digital Document,,#VALUE!,,,,
nauru,Nauru Fisheries and Marine Resources Authority (NFMRA) Corporate Plan 2015-2020,Part of Existing Sector Document (Agriculture/Fisheries),https://www.spc.int/CoastalFisheries/CFM/Document/ShowDocument/39486ba4-1e4d-4ade-90bc-0773451b4a24?attachment=False,https://www.spc.int/CoastalFisheries/CFM/Document/ShowDocument/39486ba4-1e4d-4ade-90bc-0773451b4a24?attachment=False,,,,
new zealand,The Digital Strategy: Creating our Digital Future,Part of National ICT/Digital Document,The digital strategy [electronic reso... | Items | National Library of New Zealand | National Library of New Zealand (natlib.govt.nz),https://natlib.govt.nz/records/21218396?search%5Bpath%5D=items&search%5Btext%5D=The+national+digital+strategy+%3A+creating+our+digital+future,,,,
new zealand,Government ICT Strategy 2015,Part of National ICT/Digital Document,"https://snapshot.ict.govt.nz/resources/digital-ict-archive/static/localhost_8000/strategy-and-action-plan/strategy/index.html#:~:text=The%20Government%20ICT%20Strategy%20was,work%20programme%20in%20June%202016.",https://snapshot.ict.govt.nz/resources/digital-ict-archive/static/localhost_8000/strategy-and-action-plan/strategy/index.html,,,,
new zealand,New Zealand's Cyber Security Strategy,Part of National ICT/Digital Document,"https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/NewZealand_2011_nz-cyber-security-strategy-june-2011_0.pdf#:~:text=New%20Zealand%E2%80%99s%20Cyber%20Security%20Strategy%20is%20the%20Government%E2%80%99s,for%20individuals%2C%20businesses%2C%20critical%20national%20infrastructure%20and%20government.",https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/NewZealand_2011_nz-cyber-security-strategy-june-2011_0.pdf,,,,
new zealand,Building a Digital Nation,Part of National ICT/Digital Document,https://www.mbie.govt.nz/assets/247943bfa5/building-a-digital-nation-bga.pdf,https://www.mbie.govt.nz/assets/247943bfa5/building-a-digital-nation-bga.pdf,,,,
new zealand,Agritech Industry Transformation Plan 2020,Standalone,https://www.mbie.govt.nz/dmsdocument/11572-growing-innovative-industries-in-new-zealand-agritech-industry-transformation-plan-july-2020-pdf,https://www.mbie.govt.nz/dmsdocument/11572-growing-innovative-industries-in-new-zealand-agritech-industry-transformation-plan-july-2020-pdf,,,,
nigeria,Agriculture Promotion Policy (2016 - 2020).,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/nig165890.pdf,http://faolex.fao.org/docs/pdf/nig165890.pdf,,,,
nigeria,Agricultural Policy for Nigeria.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/nig149296.pdf,http://faolex.fao.org/docs/pdf/nig149296.pdf,,,,
nigeria,Nigeria's National Broadband Plan 2013-2018,Part of National ICT/Digital Document,Nigeria’s National Broadband Plan 2013 - 2018 (slideshare.net),https://www.slideshare.net/eddodds/fmct-the-nigerian-national-broadband-plan-2013,,,,
nigeria,National Information and Communication Technology (ICT) Policy,Part of National ICT/Digital Document,http://a4ai.org/wp-content/uploads/2014/03/Approved_ICT_Policy-2012.pdf,http://a4ai.org/wp-content/uploads/2014/03/Approved_ICT_Policy-2012.pdf,,,,
nigeria,Cybercrime Act,Part of National ICT/Digital Document,Microsoft Word - Document1 (edojudiciary.gov.ng),https://edojudiciary.gov.ng/wp-content/uploads/2016/10/Cyber-Crime-Act-2015.pdf,,,,
nigeria,Electronic Transactions Bill,Part of National ICT/Digital Document,https://ictpolicyafrica.org/pt/document/c8obxbnei4q,https://ictpolicyafrica.org/pt/document/c8obxbnei4q,,,,
pakistan,National Broadband Programme 2007,Part of National ICT/Digital Document,,#VALUE!,,,,
pakistan,Prevention of Electronic Crimes Act,Part of National ICT/Digital Document,http://pklegal.org/pdf/Prevention-of-Electronic-Crimes-Ordinance-2007-(PECO2007).pdf,http://pklegal.org/pdf/Prevention-of-Electronic-Crimes-Ordinance-2007-(PECO2007).pdf,,,,
pakistan,Digital Pakistan Policy,Part of National ICT/Digital Document,http://moib.gov.pk/Downloads/Policy/DIGITAL_PAKISTAN_POLICY%2822-05-2018%29.pdf,http://moib.gov.pk/Downloads/Policy/DIGITAL_PAKISTAN_POLICY%2822-05-2018%29.pdf,,,,
pakistan,Information Technology Policy of Pakistan,Part of National ICT/Digital Document,,#VALUE!,,,,
pakistan,National Agriculture and Food Security Policy Pakistan,Part of Existing Sector Document (Agriculture/Fisheries),National Agriculture and Food Security in Pakistan (ips.org.pk),https://www.ips.org.pk/wp-content/uploads/2020/08/National-Agriculture-and-Food-Security-in-Pakistan.pdf,,,,
pakistan,National Policy and Strategy for Fisheries and Aquaculture Development in Pakistan 2007,Part of Existing Sector Document (Agriculture/Fisheries),http://extwprlegs1.fao.org/docs/pdf/pak150786.pdf,http://extwprlegs1.fao.org/docs/pdf/pak150786.pdf,,,,
papua new guinea,National Oceans Policy 2020 - 2030.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/png205424.pdf,http://faolex.fao.org/docs/pdf/png205424.pdf,,,,
papua new guinea,National Information and Communications Technology (ICT) Policy,Part of National ICT/Digital Document,https://www.kch.com.pg/wp-content/uploads/2019/03/National-ICT-Policy-Aprill-2008.pdf,https://www.kch.com.pg/wp-content/uploads/2019/03/National-ICT-Policy-Aprill-2008.pdf,,,,
papua new guinea,National Broadband Policy,Part of National ICT/Digital Document,https://www.theprif.org/sites/default/files/2020-08/PNG%20NBB%20Policy%202013.pdf,https://www.theprif.org/sites/default/files/2020-08/PNG NBB Policy 2013.pdf,,,,
papua new guinea,Cybercrime Policy,Part of National ICT/Digital Document,https://sherloc.unodc.org/cld/lessons-learned/png/papua_new_guinea_cybercrime_policy.html,https://sherloc.unodc.org/cld/lessons-learned/png/papua_new_guinea_cybercrime_policy.html,,,,
papua new guinea,National Payments System Act,Part of National ICT/Digital Document,https://www.bankpng.gov.pg/wp-content/uploads/2015/07/NPSA-2013-as-enacted-and-certified.docx.pdf,https://www.bankpng.gov.pg/wp-content/uploads/2015/07/NPSA-2013-as-enacted-and-certified.docx.pdf,,,,
papua new guinea,Directive on Electronic Fund Transfers 02/2019,Part of National ICT/Digital Document,https://www.bankpng.gov.pg/wp-content/uploads/2019/04/Directive-on-Electronic-Funds-Transfer.pdf,https://www.bankpng.gov.pg/wp-content/uploads/2019/04/Directive-on-Electronic-Funds-Transfer.pdf,,,,
