,Country/Territory,Title,Type,Link,URL,PDF_Name,digital innovation,data infrastructure,business development,enabling environment,Data is defined,Definition of data
81,jamaica,Information and Communications Technology Policy (ICT) Policy 2011,Part of National ICT/Digital Document,http://www.japarliament.gov.jm/attachments/596_Information%20and%20Communications%20Technology%20(ICT)%20Policy.pdf,http://www.japarliament.gov.jm/attachments/596_Information and Communications Technology (ICT) Policy.pdf,81.pdf,,,,,,
82,kenya,Kenya Climate Smart Agriculture Implementation Framework.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/ken189345.pdf,http://faolex.fao.org/docs/pdf/ken189345.pdf,82.pdf,,,,"for climate change response. summary of actions: • sensitization of stakeholders. • review and catalogue policies, strategies and regulations and identify need for revision. • support revision and formulation of appropriate policies, strategies and regulations. • lobbying for changes/adoption in the policies and regulations. • facilitate roll-out of adopted policies,",,
83,kenya,Agricultural Sector Transformation and Growth Strategy (ASTGS).,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/ken189053.pdf,http://faolex.fao.org/docs/pdf/ken189053.pdf,83.pdf,,,"support and financing, smes may still be hampered by the complex regulatory environment they face, including, e.g., bureaucratic process of issuing and renewing licences. to address this, at year 1, the accelerators will compile a list of the main regulatory constraints to smes, which the national and county governments will","is already in place. kenya box 5: defining inclusive agricultural transformation agricultural transformation: what it means and signs it is happening source: astgs working team analysis what is meant by ‘agricultural transformation’ for most agrarian economies, successful agricultural transformation is a decades-long process which involves: modernization of on-farm production and",,"input and output standards, especially for government organizations, will help users collect data from different sources and combine it for analysis with less effort. submission to kodi and other relevant platforms also allows the moalf&i data department and moict to provide additional support to ensure compliance with data standards. private"
84,kenya,"Strategic Plan 2018-2022 for the Ministry of Agriculture, Livestock, Fisheries and Co-operatives.",Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/ken203437.pdf,http://faolex.fao.org/docs/pdf/ken203437.pdf,84.pdf,,,"programme (abdp) this programme aims to alleviate rural poverty and malnutrition by bringing large numbers of poor people into kenya‟s growing aquaculture business as small-scale producers or as village- level providers of related services. the programme will cover fifteen counties, namely: kisii, migori, homa bay, kakamega, nyeri, embu, kirinyaga, tharaka",for agricultural and co-operatives development ......................................................................................................................................................... 9 key result area 2: agricultural sector productivity improvement ................................................................... 11 3.3.2strategic objective: to increase productivity and outputs in the agriculture sector .............................. 12 key result area 3: food and nutrition security ................................................................................................ 18 3.3.3strategic objective 3: enhance food and nutrition security .................................................................... 19,,
85,kenya,National Trade Policy,Part of Existing Sector Document (Other),http://faolex.fao.org/docs/pdf/ken147959.pdf,http://faolex.fao.org/docs/pdf/ken147959.pdf,85.pdf,,,services (bds). the trade policy will therefore facilitate improvements in the enabling environment for increased trade in stock and shares and outsourced services. 1.3 current trade policy dispensation 1.3 current trade policy dispensation 1.3 current trade policy dispensation 1.3 current trade policy dispensation the current trade policy instruments are contained,for increased trade in stock and shares and outsourced services. 1.3 current trade policy dispensation 1.3 current trade policy dispensation 1.3 current trade policy dispensation 1.3 current trade policy dispensation the current trade policy instruments are contained in various policy documents and legislations; and are administered by various institutions. some,,
86,kenya,Capacity Building Strategy for Agriculture Sector (2016-2021).,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/ken189996.pdf,http://faolex.fao.org/docs/pdf/ken189996.pdf,86.pdf,,,"services cna capacity needs assessment cb capacity building cbet competency based education and training cbo cbtwg ccbc community based organization capacity building technical working group committee county capacity building committees cdaac curriculum development, assessment and accreditation council cecm county executive committee member cgs cdcbsc county governments county departmental capacity building","level, the existing legal and regulatory framework and political commitment were also found to be inadequate to drive the sector forward. to address these issues, six strategic objectives were identified namely; to strengthen governance structures and coordination of institutions mandated with capacity building in the counties; to improve knowledge, skills",,
87,kenya,National Agricultural Research System Policy,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/ken147873.pdf,http://faolex.fao.org/docs/pdf/ken147873.pdf,87.pdf,,,,"for a vibrant agricultural research industry that contributes to the overarching national policies of economic growth and wealth creation, poverty reduction and gender equity. hon. dr. s. j. kosgei, egh, mp minister for agriculture foreword vi national agricultural research system policy t he process of developing this policy has been",,
88,kenya,Youth Agribusiness Strategy 2017-2021.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/ken171450.pdf,http://faolex.fao.org/docs/pdf/ken171450.pdf,88.pdf,,,"skills services, savings scheme, access to productive assets, technologies and markets 22,750 youth (5% of db) 91,000 2,275,000,000 (by 100,000) 1,137,500,000 neet training on service provision, mechanization equipment, safety nets, training 50,000 200,000 5,000,000,000 (by 100,000) 1,250,000,000 innovators and researchers new entrants incubation, tech labs 500 1,000 (by 2) 200,000,000","for youth in agri-preneurship; promote youth-inclusive climate smart agricultural technologies and create green jobs for environmental sustainability; promote an integrated approach to address cross-cutting challenges including gender disparities, cultural barriers, alcohol and substance abuse, hiv & aids, weak governance and value systems amongst others. the implementation of the strategic plan",,
89,kenya,Computer Misuse and Cybercrimes Act,Part of National ICT/Digital Document,http://www.parliament.go.ke/sites/default/files/2021-05/Computer%20Misuse%20and%20Cybercrimes%20%28Amendment%29%20Bill%2C%202021.pdf,http://www.parliament.go.ke/sites/default/files/2021-05/Computer Misuse and Cybercrimes %28Amendment%29 Bill%2C 2021.pdf,89.pdf,,,,,,
90,kenya,Data Protection Bill,Part of National ICT/Digital Document,http://parliament.go.ke/sites/default/files/2017-05/Data_Protection_Bill_2018.pdf,http://parliament.go.ke/sites/default/files/2017-05/Data_Protection_Bill_2018.pdf,90.pdf,,,,,,
92,kiribati,Kiribati Agriculture Strategy 2020-2030,Part of Existing Sector Document (Agriculture/Fisheries),https://gggi.org/site/assets/uploads/2020/03/Kiribati-Agriculture-Strategy.pdf,https://gggi.org/site/assets/uploads/2020/03/Kiribati-Agriculture-Strategy.pdf,92.pdf,,,,and marketing mechanisms developed • level of public and private investment capital flows into the agriculture sector • increase in sale of agricultural outputs in the domestic market • department reports • project reports • focus surveys • strategy progress report output 3.1: agriculture sector financing and investments mobilized •,,
93,kiribati,Kiribati National Fisheries Policy 2013-2025,Part of Existing Sector Document (Agriculture/Fisheries),https://spccfpstore1.blob.core.windows.net/digitallibrary-docs/files/36/36e601d65fe7167675f1d800e08281bd.pdf?sv=2015-12-11&sr=b&sig=uxRIYrJ%2FBk7gdhwqZ9lb3nQemMy7Eh1QSUnRCgRzy0A%3D&se=2022-10-04T09%3A17%3A32Z&sp=r&rscc=public%2C%20max-age%3D864000%2C%20max-stale%3D86400&rsct=application%2Fpdf&rscd=inline%3B%20filename%3D%22Anon_12_Kiribati_National_Fisheries_Policy.pdf%22,https://spccfpstore1.blob.core.windows.net/digitallibrary-docs/files/36/36e601d65fe7167675f1d800e08281bd.pdf?sv=2015-12-11&sr=b&sig=uxRIYrJ%2FBk7gdhwqZ9lb3nQemMy7Eh1QSUnRCgRzy0A%3D&se=2022-10-04T09%3A17%3A32Z&sp=r&rscc=public%2C%20max-age%3D864000%2C%20max-stale%3D86400&rsct=application%2Fpdf&rscd=inline%3B%20filename%3D%22Anon_12_Kiribati_National_Fisheries_Policy.pdf%22,93.pdf,,,,,,
94,lesotho,Lesotho National Broadband Policy 2014-2018,Part of National ICT/Digital Document,LesothoDraft_NBP.pdf (ellipsis.co.za),https://www.ellipsis.co.za/wp-content/uploads/2016/07/LesothoDraft_NBP.pdf,94.pdf,,,,,,
95,malawi,National Fisheries and Aquaculture Policy (NFAP).,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/mlw190922.pdf,http://faolex.fao.org/docs/pdf/mlw190922.pdf,95.pdf,,,,for fishing communities to organize themselves at local and national level is provided; (iv) sustainable financing mechanism for promotion of fisheries and aquaculture is established; (v) best practices in the management of shared ecosystems is promoted; and (vi) collaboration with other natural resource sectors in the conservation and management of,,
96,malawi,National ICT Policy,Part of National ICT/Digital Document,"https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Malawi_2013_Malawi_ICT_Policy.pdf#:~:text=The%20National%20Information%20and%20Communications%20Technology%20Policy%20has,poverty%20through%20sustainable%20economic%20growth%20and%20infrastructure%20development.",https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Malawi_2013_Malawi_ICT_Policy.pdf,96.pdf,,,,,,
97,malawi,National Broadband Strategy 2019-2023,Part of National ICT/Digital Document,https://api.pppc.mw/storage/164/national-Broadband-col.pdf,https://api.pppc.mw/storage/164/national-Broadband-col.pdf,97.pdf,,,,,,
98,malawi,Cybersecurity Strategy,Part of National ICT/Digital Document,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/00019_07_Malawi%20national-cybersecurity-strategy.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/00019_07_Malawi national-cybersecurity-strategy.pdf,98.pdf,,,,"where innovation and creativity in cybersecurity can be fostered. considering that all ict users including individuals, public or private sector are required to take necessary steps in ensuring their cybersecurity including investing in infrastructure or technology, the government will facilitate the deployment of, and usage of requisite infrastructure/technology necessary to",,
99,malawi,Digital Government Strategy,Part of National ICT/Digital Document,https://api.pppc.mw/storage/161/DIGITAL-GOVERNMENT-STRATEGY-BOOK.pdf,https://api.pppc.mw/storage/161/DIGITAL-GOVERNMENT-STRATEGY-BOOK.pdf,99.pdf,,,,c. to establish the technology infrastructure needed for integration of e- services d. to set-up the shared services platforms for e-services iv. projects implemented in the first wave of digitization in other benchmarked countries 4.2 assumptions made for cost estimation costs have been estimated for each of the demarcated projects.,,
100,malaysia,National Internet of Things Strategic Roadmap,Part of National ICT/Digital Document,http://www.mimos.my/iot/National_IoT_Strategic_Roadmap_Book.pdf,http://www.mimos.my/iot/National_IoT_Strategic_Roadmap_Book.pdf,100.pdf,,,,,,
101,malaysia,Digital Economy Blueprint,Part of National ICT/Digital Document,https://www.epu.gov.my/sites/default/files/2021-02/malaysia-digital-economy-blueprint.pdf,https://www.epu.gov.my/sites/default/files/2021-02/malaysia-digital-economy-blueprint.pdf,101.pdf,skills • transform students from consumers to producers of technology description of initiative • this initiative aims to expand the number of champion schools across the nation • this programme will equip students and teachers with the necessary digital skills and tools to cultivate adaptability skills and innovative mindsets through,,and planning • this includes creating attractive career paths to retain talent • this initiative will also include long-term plans for continuous training and upskilling in technical areas outcome • empowerment of ict-related talent with skills to steer digital transformation • decrease dependency on external vendors or professional services mampu,"is required in enhancing the development of digital infrastructures, including high-end data centres. building enabling digital infrastructures is fundamental in advancing the digital economy. chapter 3 accelerating the digital economy 56 chapter 3 accelerating the digital economy thrust 03 build enabling digital infrastructure 1 review laws and regulations to improve",,
102,malaysia,National Agrofood Policy 2021-2030,Part of Existing Sector Document (Agriculture/Fisheries),"https://www.mafi.gov.my/documents/20182/361765/Executive+Summary+National+Agrofood+Policy+2021-2030+%28NAP+2.0%29-min.pdf/2320d744-0335-4d68-80bd-9f0e464f232a#:~:text=National%20Agrofood%20Policy%2C%202021%2D2030,prioritising%20food%20security%20and%20nutrition.",https://www.mafi.gov.my/documents/20182/361765/Executive+Summary+National+Agrofood+Policy+2021-2030+%28NAP+2.0%29-min.pdf/2320d744-0335-4d68-80bd-9f0e464f232a,102.pdf,,,,,,
103,maldives,National Fisheries and Agricultural Policy 2019-2029,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/mdv205058.pdf,http://faolex.fao.org/docs/pdf/mdv205058.pdf,103.pdf,,,,,,
104,malta,National Agricultural Policy for the Maltese Islands.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/mlt189509.pdf,http://faolex.fao.org/docs/pdf/mlt189509.pdf,104.pdf,,,,,,
105,malta,Electronic Commerce Act,Part of National ICT/Digital Document,https://economy.gov.mt/en/legislations/mca/electronic%20commerce%20act%20%28chapter%20426%20laws%20of%20malta%29.pdf,https://economy.gov.mt/en/legislations/mca/electronic commerce act %28chapter 426 laws of malta%29.pdf,105.pdf,,,,,,
106,malta,Data Protection Act,Part of National ICT/Digital Document,https://maltacvs.org/wp-content/uploads/2019/05/Data-Protection-Act.pdf,https://maltacvs.org/wp-content/uploads/2019/05/Data-Protection-Act.pdf,106.pdf,,,,,,
107,mauritius,"Strategic Plan for the Food Crop, Livestock and Forestry Sectors (2016-2020).",Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/mat159356.pdf,http://faolex.fao.org/docs/pdf/mat159356.pdf,107.pdf,,,"service providers. training and mentoring services. it implies agribusiness support (business plan, feasibility, marketing), value addition; market links; and contracting services. the support package will comprise of: i. motivation and canvassing potential candidates; ii. defining codes of practice for the cluster; iii. facilitating the linkages between actors within the cluster;","for the farming community (including the corporate sector) to flourish; ensuring all-stakeholder partnerships (including community participation); monitoring, evaluation and feedback; preparation of relevant plans for certification, regulation and the maintenance of standards.  an insistence on sound environmental practices, promotion of bio-diversity and sustainable use of natural resources to ensure",,
108,mauritius,Electronic Transactions Act,Part of National ICT/Digital Document,"https://attorneygeneral.govmu.org/Documents/Laws%20of%20Mauritius/A-Z%20Acts/E/ELECTRONIC%20TRANSACTIONS%20ACT,%20No%2023%20of%202000.pdf","https://attorneygeneral.govmu.org/Documents/Laws of Mauritius/A-Z Acts/E/ELECTRONIC TRANSACTIONS ACT, No 23 of 2000.pdf",108.pdf,,,,,,
109,mauritius,Digital Mauritius 2030 Strategic Plan,Part of National ICT/Digital Document,https://ncb.govmu.org/ncb/strategicplans/DigitalMauritius2030.pdf,https://ncb.govmu.org/ncb/strategicplans/DigitalMauritius2030.pdf,109.pdf,,,,"for business facilitation development. emerging technologies like artificial intelligence, blockchain, robotics, internet of things, fintech and big data are also expected to assist in the digital transformation process. in this context, a methodology based on five strategic waves namely digital government, ict infrastructure, innovation, talent management and cybersecurity was adopted",,
110,mauritius,Digital Government Transformation Strategy 2018-2022,Part of National ICT/Digital Document,https://cib.govmu.org/Documents/Reports/Digital%20Government%20Strategy%202018-2022.pdf,https://cib.govmu.org/Documents/Reports/Digital Government Strategy 2018-2022.pdf,110.pdf,,,,,,
111,mauritius,Cybercrime Strategy 2017-2019,Part of National ICT/Digital Document,https://ncb.govmu.org/ncb/strategicplans/CybercrimeStrategy2017-2019.pdf,https://ncb.govmu.org/ncb/strategicplans/CybercrimeStrategy2017-2019.pdf,111.pdf,,,,,,
112,mauritius,The Computer Misuse and Cybercrime Act,Part of National ICT/Digital Document,https://president.govmu.org/Documents/Legislations/COMPUTER_MISUSE.pdf,https://president.govmu.org/Documents/Legislations/COMPUTER_MISUSE.pdf,112.pdf,,,,,,
113,mauritius,Mauritius Artificial Intelligence (AI) Strategy,Part of National ICT/Digital Document,https://cib.govmu.org/Documents/Strategies/Mauritius%20AI%20Strategy%20%287%29.pdf,https://cib.govmu.org/Documents/Strategies/Mauritius AI Strategy %287%29.pdf,113.pdf,"for better customer interface and better service delivery for the flagship project. challenges developments in the field of ai in mauritius will cause authorities to rethink job descriptions and figure out when humans should be at the helm or when they should defer to smart machines for safety, cost savings",,,,,
114,mauritius,National Open Data Policy,Part of National ICT/Digital Document,https://mitci.govmu.org/Documents/Strategies/Mauritius%20Open%20Data%20Policy%20May%202017.pdf,https://mitci.govmu.org/Documents/Strategies/Mauritius Open Data Policy May 2017.pdf,114.pdf,,,,,,
115,mauritius,National Cyber Security Strategy 2014-2019,Part of National ICT/Digital Document,https://nsarchive.gwu.edu/sites/default/files/documents/5014252/Mauritian-Government-National-Cyber-Security.pdf,https://nsarchive.gwu.edu/sites/default/files/documents/5014252/Mauritian-Government-National-Cyber-Security.pdf,115.pdf,,,,,,
116,mauritius,"Information and Communication Technologies Act 2001, amended December 2018",Part of National ICT/Digital Document,https://en.unesco.org/creativity/sites/creativity/files/qpr/icta_act.pdf,https://en.unesco.org/creativity/sites/creativity/files/qpr/icta_act.pdf,116.pdf,,,,,,
117,mauritius,Mauritius e-Government Strategy 2013-2017,Part of National ICT/Digital Document,fistpage (govmu.org),https://cib.govmu.org/Documents/Reports/e-GovStrategyActionPlanV1.pdf,117.pdf,,,,,,
118,mauritius,National Open Source Software Strategy for the Republic of Mauritius,Part of National ICT/Digital Document,OpenSourceSoftwareStrategy.pdf (govmu.org),https://ncb.govmu.org/ncb/strategicplans/OpenSourceSoftwareStrategy.pdf,118.pdf,,,,,,
119,mozambique,Strategic Plan for the Development of the Agriculture Sector (PEDSA) 2011-2020,Part of Existing Sector Document (Agriculture/Fisheries),https://www.agricultura.gov.mz/wp-content/uploads/2018/01/PEDSA_2011_2020.pdf,https://www.agricultura.gov.mz/wp-content/uploads/2018/01/PEDSA_2011_2020.pdf,119.pdf,,,,,,
120,mozambique,National ICT Policy,Part of National ICT/Digital Document,https://www.portaldogoverno.gov.mz/por/content/download/1079/9176/version/1/file/Politica+de+informatica.pdf,https://www.portaldogoverno.gov.mz/por/content/download/1079/9176/version/1/file/Politica+de+informatica.pdf,120.pdf,,,,,,
122,mozambique,National ICT Implementation Strategy 2002 and 2006 - Digital Inclusion in Mozambique,Part of National ICT/Digital Document,https://www.portaldogoverno.gov.mz/por/content/download/1432/12117/version/1/file/Estrat%C3%A9gia+de+Implementa%C3%A7%C3%A3o+Pol%C3%ADtica+Inform%C3%A1tica.pdf,https://www.portaldogoverno.gov.mz/por/content/download/1432/12117/version/1/file/Estrat%C3%A9gia+de+Implementa%C3%A7%C3%A3o+Pol%C3%ADtica+Inform%C3%A1tica.pdf,122.pdf,,,,,,
123,namibia,"Ministry of Agriculture, Water & Forestry - Strategic Plan 2017/18-2021/22.",Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/nam175554.pdf,http://faolex.fao.org/docs/pdf/nam175554.pdf,123.pdf,,,dvs: directorate of veterinary services dwrm: directorate of water resources management dwssc: directorate of water supply and sanitation coordination grn: government of the republic of namibia hpp: harambee prosperity plan ict: information communication technology kpi: key performance indicator mawf: ministry of agriculture water and forestry mtef: medium term expenditures framework,"and develop strategies, programmes and projects aimed at enhancing food and nutrition security and improving the livelihoods of namibians” 5 ministry of agriculture, water and forestry strategic plan - 2017/18-2021/22 core values the core values are guiding beliefs about how things should be done and represent the way in which",,
124,namibia,Namibian Agriculture Marketing and Trade Policy and Strategy.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/nam188595.pdf,http://faolex.fao.org/docs/pdf/nam188595.pdf,124.pdf,,,,,,
125,namibia,Telecommunications Policy for the Republic of Namibia,Part of National ICT/Digital Document,Microsoft Word - NMICT - Telecommunications Policy 18 February 2009 v10.0 PA Final ICT#8 (researchictafrica.net),https://www.researchictafrica.net/countries/namibia/NMICT_Telecommunications_Policy_2009.pdf,125.pdf,,,,,,
126,namibia,Fisheries Policy,Part of Existing Sector Document (Agriculture/Fisheries),https://wikileaks.org/fishrot/database/raw_data/lg_pdf_view/8a47e6e5548493cb37cd0553a89e73ad.pdf,https://wikileaks.org/fishrot/database/raw_data/lg_pdf_view/8a47e6e5548493cb37cd0553a89e73ad.pdf,126.pdf,,,,,,
127,namibia,National ICT Policy 2008,Part of National ICT/Digital Document,https://www.researchictafrica.net/countries/namibia/NMICT_IT_Policy_2008.pdf,https://www.researchictafrica.net/countries/namibia/NMICT_IT_Policy_2008.pdf,127.pdf,,,,,,
128,namibia,Electronic Transactions and Communications Bill,Part of National ICT/Digital Document,Electronic Transactions Act 4 of 2019 (lac.org.na),https://www.lac.org.na/laws/annoSTAT/Electronic Transactions Act 4 of 2019.pdf,128.pdf,,,,,,
129,nauru,Cybercrime Act 2015,Part of National ICT/Digital Document,"ronlaw.gov.nr/nauru_lpms/files/acts/a59d9691f5a195412b877493a2a95e8b.pdf#:~:text=CYBERCRIME ACT 2015 No. 14 of 2015 An,offences in Nauru and for other related purposes.",http://ronlaw.gov.nr/nauru_lpms/files/acts/a59d9691f5a195412b877493a2a95e8b.pdf,129.pdf,,,,,,
130,new zealand,New Zealand's Cyber Security Strategy,Part of National ICT/Digital Document,"https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/NewZealand_2011_nz-cyber-security-strategy-june-2011_0.pdf#:~:text=New%20Zealand%E2%80%99s%20Cyber%20Security%20Strategy%20is%20the%20Government%E2%80%99s,for%20individuals%2C%20businesses%2C%20critical%20national%20infrastructure%20and%20government.",https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/NewZealand_2011_nz-cyber-security-strategy-june-2011_0.pdf,130.pdf,,,,,,
131,new zealand,Building a Digital Nation,Part of National ICT/Digital Document,https://www.mbie.govt.nz/assets/247943bfa5/building-a-digital-nation-bga.pdf,https://www.mbie.govt.nz/assets/247943bfa5/building-a-digital-nation-bga.pdf,131.pdf,"change the nature of our work, people will also need to change; upskilling and reskilling throughout their lives. while reducing the need for some types of jobs, this will also create a range of new forms of high-skilled employment. • digital society and connecting online – digital technology can make",,,,,
132,nigeria,Agriculture Promotion Policy (2016 - 2020).,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/nig165890.pdf,http://faolex.fao.org/docs/pdf/nig165890.pdf,132.pdf,"to lower costs of field work  incentivize narss to engage with farmers more broadly and at lower price point / cost as a step for ultimately improving extension services to farmers.  reform and reposition the arcn to strengthen it for more effective delivery of its mandate activities, with",,,"for stakeholders at federal and state level to play their distinctive roles. the policy emphasis will be on providing a conducive legislative and agricultural knowledge framework, macro policies, security enhancing physical infrastructure and institutional mechanisms for coordination and enhancing access to adequate inputs, finance, information on innovation, agricultural services and",,
133,nigeria,Agricultural Policy for Nigeria.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/nig149296.pdf,http://faolex.fao.org/docs/pdf/nig149296.pdf,133.pdf,,,,,,
134,nigeria,National Information and Communication Technology (ICT) Policy,Part of National ICT/Digital Document,http://a4ai.org/wp-content/uploads/2014/03/Approved_ICT_Policy-2012.pdf,http://a4ai.org/wp-content/uploads/2014/03/Approved_ICT_Policy-2012.pdf,134.pdf,,,,"that will attract investment and funding from these various stakeholders. 7.15.1 situation analysis although the ict sector has witnessed tremendous investments over recent years, the occurrence of multiple regulation and taxation - a phenomenon where players in the ict sector are subjected to various rules, regulations and taxes, for the",,
135,nigeria,Cybercrime Act,Part of National ICT/Digital Document,Microsoft Word - Document1 (edojudiciary.gov.ng),https://edojudiciary.gov.ng/wp-content/uploads/2016/10/Cyber-Crime-Act-2015.pdf,135.pdf,,,,"for members to share knowledge, experience, intelligence and information on a regular basis and shall provide recommendations on issues relating to the prevention and combating of cybercrimes and the promotion of cybersecurity in nigeria. (5) a member of the council shall cease to hold office if – (a) he ceases",,
136,pakistan,Prevention of Electronic Crimes Act,Part of National ICT/Digital Document,http://pklegal.org/pdf/Prevention-of-Electronic-Crimes-Ordinance-2007-(PECO2007).pdf,http://pklegal.org/pdf/Prevention-of-Electronic-Crimes-Ordinance-2007-(PECO2007).pdf,136.pdf,,,,,,
138,pakistan,National Agriculture and Food Security Policy Pakistan,Part of Existing Sector Document (Agriculture/Fisheries),National Agriculture and Food Security in Pakistan (ips.org.pk),https://www.ips.org.pk/wp-content/uploads/2020/08/National-Agriculture-and-Food-Security-in-Pakistan.pdf,138.pdf,,,,,,
139,pakistan,National Policy and Strategy for Fisheries and Aquaculture Development in Pakistan 2007,Part of Existing Sector Document (Agriculture/Fisheries),http://extwprlegs1.fao.org/docs/pdf/pak150786.pdf,http://extwprlegs1.fao.org/docs/pdf/pak150786.pdf,139.pdf,,,,,,
140,papua new guinea,National Oceans Policy 2020 - 2030.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/png205424.pdf,http://faolex.fao.org/docs/pdf/png205424.pdf,140.pdf,,,,,,
141,papua new guinea,National Information and Communications Technology (ICT) Policy,Part of National ICT/Digital Document,https://www.kch.com.pg/wp-content/uploads/2019/03/National-ICT-Policy-Aprill-2008.pdf,https://www.kch.com.pg/wp-content/uploads/2019/03/National-ICT-Policy-Aprill-2008.pdf,141.pdf,,,,"and to assist png to deploy, harness and exploit ict for socio-economic development. looking to the near future, the government can envisage a papua new guinea where: • the processes for work, commerce, health, education and training, social interaction and government are assisted by information and communications technologies; • all",,
143,papua new guinea,National Payments System Act,Part of National ICT/Digital Document,https://www.bankpng.gov.pg/wp-content/uploads/2015/07/NPSA-2013-as-enacted-and-certified.docx.pdf,https://www.bankpng.gov.pg/wp-content/uploads/2015/07/NPSA-2013-as-enacted-and-certified.docx.pdf,143.pdf,,,,,,
144,papua new guinea,Directive on Electronic Fund Transfers 02/2019,Part of National ICT/Digital Document,https://www.bankpng.gov.pg/wp-content/uploads/2019/04/Directive-on-Electronic-Funds-Transfer.pdf,https://www.bankpng.gov.pg/wp-content/uploads/2019/04/Directive-on-Electronic-Funds-Transfer.pdf,144.pdf,,,,,,
145,papua new guinea,"Papua New Guinea National Food Security Policy
2018-2027",Part of Existing Sector Document (Agriculture/Fisheries),http://www.agriculture.gov.pg/wp-content/uploads/2018/12/National-Food-Security-Policy-2017-2027.pdf,http://www.agriculture.gov.pg/wp-content/uploads/2018/12/National-Food-Security-Policy-2017-2027.pdf,145.pdf,,,,,,
146,rwanda,National Agricultural Extension Strategy,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/rwa149678.pdf,http://faolex.fao.org/docs/pdf/rwa149678.pdf,146.pdf,,,,,,
147,rwanda,Rwanda National Agricultural Policy.,Part of Existing Sector Document (Agriculture/Fisheries),http://faolex.fao.org/docs/pdf/rwa174291.pdf,http://faolex.fao.org/docs/pdf/rwa174291.pdf,147.pdf,,,,"and responsive institutions ............... 33 policy problem ............................................................................................................... 33 policy actions ................................................................................................................. 34 6.2.1. facilitate shifting the role of the government from market-actor to market- enabler 34 6.2.2. strengthen intra-governmental coordination on agricultural policy and strategic cross-cutting issues (horizontal coordination) ..................................................................... 34 6.2.3. enhance the effectiveness and efficiency of service-delivery,",,
148,rwanda,Strategic Plan for the Transformation of Agriculture in Rwanda Phase IV,Part of Existing Sector Document (Agriculture/Fisheries),https://www.minagri.gov.rw/fileadmin/user_upload/Minagri/Publications/Policies_and_strategies/PSTA4__Rwanda_Strategic_Plan_for_Agriculture_Transformation_2018.pdf,https://www.minagri.gov.rw/fileadmin/user_upload/Minagri/Publications/Policies_and_strategies/PSTA4__Rwanda_Strategic_Plan_for_Agriculture_Transformation_2018.pdf,148.pdf,,,fund btc belgian technical cooperation caadp comprehensive africa agriculture development programme cepar coffee exporters and processors association of rwanda cfsva comprehensive food security and vulnerability analysis csa climate smart agriculture cso civil society organisation cip crop intensification programme dfid department for international development ddp district development plans drc democratic republic,"and responsive institutions ..................................................................... 60 outcome 4 .................................................................................................................................................................. 60 ia 4.1. agricultural institutions development ............................................................................................................... 61 ia 4.2. evidence-based policy development and regulatory frameworks .................................................................... 63 ia 4.3. commercialisation of value chains in the agriculture sector............................................................................. 65 ia 4.4. planning, coordination, and budgeting ........................................................................................................ 67 7. cross cutting areas .................................................................................................................................................",,
149,saint kitts and nevis,St. Kitts Agricultural Development Strategy (ADS) (2013-2016),Part of Existing Sector Document (Agriculture/Fisheries),http://extwprlegs1.fao.org/docs/pdf/stk141099.pdf,http://extwprlegs1.fao.org/docs/pdf/stk141099.pdf,149.pdf,,,,for seizing opportunities. this allows for more effective allocation and use of limited resources in areas that will capitalize on existing strengths (s) and interventions to minimize weaknesses (w) and threats (t) that could potentially and in a direct manner limit the development thrust.  specifies programs as the common,,
